="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="1/16/2020 11:14:00 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:21:47 PM"	="1"	="1"	="NPOC"	="8.018"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:23:51 PM"	="1"	="2"	="NPOC"	="0.000"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:25:57 PM"	="1"	="3"	="NPOC"	="3.462"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:28:03 PM"	="1"	="4"	="NPOC"	="2.623"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:30:10 PM"	="1"	="5"	="NPOC"	="3.005"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:40:30 PM"	="2"	="1"	="NPOC"	="22.48"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:45:25 PM"	="2"	="2"	="NPOC"	="22.45"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:50:18 PM"	="2"	="3"	="NPOC"	="23.56"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 12:55:11 PM"	="2"	="4"	="NPOC"	="23.73"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:00:13 PM"	="2"	="5"	="NPOC"	="22.78"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:10:33 PM"	="3"	="1"	="NPOC"	="46.18"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:15:37 PM"	="3"	="2"	="NPOC"	="46.32"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:20:33 PM"	="3"	="3"	="NPOC"	="47.58"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:31:00 PM"	="4"	="1"	="NPOC"	="95.18"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:36:04 PM"	="4"	="2"	="NPOC"	="91.30"	="20.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:41:07 PM"	="4"	="3"	="NPOC"	="94.30"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:46:10 PM"	="4"	="4"	="NPOC"	="95.84"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 1:56:36 PM"	="5"	="1"	="NPOC"	="240.6"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 2:01:40 PM"	="5"	="2"	="NPOC"	="232.2"	="50.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 2:06:44 PM"	="5"	="3"	="NPOC"	="243.5"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 2:11:48 PM"	="5"	="4"	="NPOC"	="243.4"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 2:21:30 PM"	="6"	="1"	="NPOC"	="483.9"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 2:26:45 PM"	="6"	="2"	="NPOC"	="474.8"	="100.0"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 2:32:01 PM"	="6"	="3"	="NPOC"	="499.0"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	=""	1.00	=""	="1/16/2020 2:37:17 PM"	="6"	="4"	="NPOC"	="493.0"	="100.0"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 2:48:14 PM"	="1"	="1"	="TN"	="1.322"	="0.5000"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 2:52:44 PM"	="1"	="2"	="TN"	="1.015"	="0.5000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 2:54:43 PM"	="1"	="3"	="TN"	="0.1019"	="0.5000"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 2:58:36 PM"	="1"	="4"	="TN"	="1.053"	="0.5000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:02:57 PM"	="1"	="5"	="TN"	="1.178"	="0.5000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:08:53 PM"	="2"	="1"	="TN"	="0.04020"	="1.000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:13:36 PM"	="2"	="2"	="TN"	="3.700"	="1.000"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:15:35 PM"	="2"	="3"	="TN"	="0.1039"	="1.000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:18:01 PM"	="2"	="4"	="TN"	="1.681"	="1.000"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:20:00 PM"	="2"	="5"	="TN"	="1.025"	="1.000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:28:36 PM"	="3"	="1"	="TN"	="3.625"	="1.667"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:30:36 PM"	="3"	="2"	="TN"	="0.000"	="1.667"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:34:55 PM"	="3"	="3"	="TN"	="4.671"	="1.667"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:36:54 PM"	="3"	="4"	="TN"	="0.000"	="1.667"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:41:07 PM"	="3"	="5"	="TN"	="5.031"	="1.667"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:50:00 PM"	="4"	="1"	="TN"	="8.006"	="5.000"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:54:42 PM"	="4"	="2"	="TN"	="7.668"	="5.000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 3:56:42 PM"	="4"	="3"	="TN"	="0.000"	="5.000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:01:33 PM"	="4"	="4"	="TN"	="17.13"	="5.000"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:03:32 PM"	="4"	="5"	="TN"	="0.1412"	="5.000"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:09:26 PM"	="5"	="1"	="TN"	="0.000"	="12.50"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:14:24 PM"	="5"	="2"	="TN"	="42.46"	="12.50"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:16:23 PM"	="5"	="3"	="TN"	="0.000"	="12.50"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:21:23 PM"	="5"	="4"	="TN"	="45.54"	="12.50"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:23:22 PM"	="5"	="5"	="TN"	="0.000"	="12.50"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:28:29 PM"	="6"	="1"	="TN"	="0.000"	="25.00"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:33:28 PM"	="6"	="2"	="TN"	="84.65"	="25.00"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:35:29 PM"	="6"	="3"	="TN"	="0.000"	="25.00"	=" "	0	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:40:24 PM"	="6"	="4"	="TN"	="85.89"	="25.00"	=" "	1	="80"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2020_01_16_14_37_18.cal"	=""	1.00	=""	="1/16/2020 4:42:24 PM"	="6"	="5"	="TN"	="0.000"	="25.00"	=" "	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	1.00	=""	="1/16/2020 4:50:55 PM"	="1"	="1"	="NPOC"	="0.000"	="0.8496"	="NPOC:0.8496mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	1.00	=""	="1/16/2020 4:52:58 PM"	="1"	="2"	="NPOC"	="0.000"	="0.8496"	="NPOC:0.8496mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	1.00	=""	="1/16/2020 4:55:01 PM"	="1"	="3"	="NPOC"	="0.000"	="0.8496"	="NPOC:0.8496mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="CHECK25"	="25PPM"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_standard.2019_06_24_14_52_38.cal"	1.00	=""	="1/16/2020 5:06:53 PM"	="1"	="1"	="NPOC"	="494.1"	="-298.5"	="NPOC:-305.3mg/L TN:153.2mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="CHECK25"	="25PPM"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_standard.2019_06_24_14_52_38.cal"	1.00	=""	="1/16/2020 5:12:09 PM"	="1"	="2"	="NPOC"	="482.6"	="-288.4"	="NPOC:-305.3mg/L TN:153.2mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="CHECK25"	="25PPM"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_standard.2019_06_24_14_52_38.cal"	1.00	=""	="1/16/2020 5:17:19 PM"	="1"	="3"	="NPOC"	="506.0"	="-308.9"	="NPOC:-305.3mg/L TN:153.2mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="CHECK25"	="25PPM"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_standard.2019_06_24_14_52_38.cal"	1.00	=""	="1/16/2020 5:22:23 PM"	="1"	="4"	="NPOC"	="505.4"	="-308.4"	="NPOC:-305.3mg/L TN:153.2mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="CHECK25"	="25PPM"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_standard.2019_06_24_13_14_49.cal"	1.00	=""	="1/16/2020 5:06:54 PM"	="1"	="1"	="TN"	="0.000"	="153.2"	="NPOC:-305.3mg/L TN:153.2mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="CHECK25"	="25PPM"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_standard.2019_06_24_13_14_49.cal"	1.00	=""	="1/16/2020 5:12:09 PM"	="1"	="2"	="TN"	="0.000"	="153.2"	="NPOC:-305.3mg/L TN:153.2mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="CHECK25"	="25PPM"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_standard.2019_06_24_13_14_49.cal"	1.00	=""	="1/16/2020 5:17:19 PM"	="1"	="3"	="TN"	="0.000"	="153.2"	="NPOC:-305.3mg/L TN:153.2mg/L"	0	="80"	
="Unknown"	="NPOC"	="6A"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	1.00	=""	="1/16/2020 5:33:59 PM"	="1"	="1"	="NPOC"	="126.6"	="26.38"	="NPOC:26.07mg/L"	0	="80"	
="Unknown"	="NPOC"	="6A"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	1.00	=""	="1/16/2020 5:39:03 PM"	="1"	="2"	="NPOC"	="125.2"	="26.10"	="NPOC:26.07mg/L"	0	="80"	
="Unknown"	="NPOC"	="6A"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_16_12_10_24.cal"	1.00	=""	="1/16/2020 5:44:06 PM"	="1"	="3"	="NPOC"	="123.4"	="25.74"	="NPOC:26.07mg/L"	0	="80"	
