="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="11/22/2019 8:22:05 AM"	
="Comments"	="11.21.19 HH extraction 20 samples"	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 8:49:40 AM"	="1"	="1"	="NPOC"	="0.000"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 8:51:45 AM"	="1"	="2"	="NPOC"	="1.771"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 8:53:48 AM"	="1"	="3"	="NPOC"	="1.758"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 8:55:52 AM"	="1"	="4"	="NPOC"	="2.159"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 8:57:56 AM"	="1"	="5"	="NPOC"	="2.130"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 9:08:17 AM"	="2"	="1"	="NPOC"	="20.96"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 9:13:21 AM"	="2"	="2"	="NPOC"	="22.04"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 9:18:24 AM"	="2"	="3"	="NPOC"	="23.17"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 9:23:27 AM"	="2"	="4"	="NPOC"	="22.60"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_11_22_08_40_37.cal"	=""	1.00	=""	="11/22/2019 9:28:30 AM"	="2"	="5"	="NPOC"	="21.82"	="5.000"	=" "	0	="80"	
