="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="8/1/2019 12:12:40 PM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="TOC"	="TC"	="IC"	="POC"	="NPOC"	="TN"	="Unit"	="Vial"	="Date / Time"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	=""	=""	=""	=""	="100.0"	=""	="mg/L"	="2, 2, 2, 2, 2, 2"	="8/1/2019 3:17:47 PM"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	=""	=""	=""	=""	=""	="25.00"	="mg/L"	="3, 3, 3, 3, 3, 3"	="8/1/2019 5:03:48 PM"	
="Unknown"	="NPOC/TN"	="25ppm"	="Pyro_!"	=""	=""	=""	=""	="26.48"	="24.65"	="mg/L"	="4"	="8/1/2019 5:27:36 PM"	
="Unknown"	="NPOC/TN"	="DI"	="Pyro_!"	=""	=""	=""	=""	="-0.07594"	="-0.1658"	="mg/L"	="5"	="8/1/2019 5:40:36 PM"	
="Unknown"	="NPOC/TN"	="973"	="Pyro_!"	=""	=""	=""	=""	="14.45"	="0.9671"	="mg/L"	="6"	="8/1/2019 6:03:04 PM"	
="Unknown"	="NPOC/TN"	="975"	="Pyro_!"	=""	=""	=""	=""	="15.40"	="1.000"	="mg/L"	="7"	="8/1/2019 6:25:07 PM"	
="Unknown"	="NPOC/TN"	="977"	="Pyro_!"	=""	=""	=""	=""	="15.29"	="1.070"	="mg/L"	="8"	="8/1/2019 6:47:20 PM"	
="Unknown"	="NPOC/TN"	="979"	="Pyro_!"	=""	=""	=""	=""	="5.103"	="0.2139"	="mg/L"	="9"	="8/1/2019 7:07:36 PM"	
="Unknown"	="NPOC/TN"	="981"	="Pyro_!"	=""	=""	=""	=""	="5.230"	="0.3629"	="mg/L"	="10"	="8/1/2019 7:25:33 PM"	
="Unknown"	="NPOC/TN"	="983"	="Pyro_!"	=""	=""	=""	=""	="5.008"	="0.2039"	="mg/L"	="11"	="8/1/2019 7:46:06 PM"	
="Unknown"	="NPOC/TN"	="985"	="Pyro_!"	=""	=""	=""	=""	="4.372"	="0.1073"	="mg/L"	="12"	="8/1/2019 8:03:50 PM"	
="Unknown"	="NPOC/TN"	="987"	="Pyro_!"	=""	=""	=""	=""	="4.459"	="0.07749"	="mg/L"	="13"	="8/1/2019 8:24:15 PM"	
="Unknown"	="NPOC/TN"	="989"	="Pyro_!"	=""	=""	=""	=""	="4.389"	="0.06460"	="mg/L"	="14"	="8/1/2019 8:41:59 PM"	
="Unknown"	="NPOC/TN"	="991"	="Pyro_!"	=""	=""	=""	=""	="6.430"	="0.06901"	="mg/L"	="15"	="8/1/2019 9:02:37 PM"	
="Unknown"	="NPOC/TN"	="993"	="Pyro_!"	=""	=""	=""	=""	="6.624"	="0.07494"	="mg/L"	="16"	="8/1/2019 9:23:39 PM"	
="Unknown"	="NPOC/TN"	="995"	="Pyro_!"	=""	=""	=""	=""	="7.004"	="0.08811"	="mg/L"	="17"	="8/1/2019 9:41:36 PM"	
="Unknown"	="NPOC/TN"	="25ppm"	="Pyro_!"	=""	=""	=""	=""	="24.32"	="24.16"	="mg/L"	="4"	="8/1/2019 10:05:19 PM"	
="Unknown"	="NPOC/TN"	="DI"	="Pyro_!"	=""	=""	=""	=""	="-0.06082"	="-0.1658"	="mg/L"	="5"	="8/1/2019 10:22:14 PM"	
="Unknown"	="NPOC/TN"	="997"	="Pyro_!"	=""	=""	=""	=""	="12.99"	="-0.04437"	="mg/L"	="18"	="8/1/2019 10:40:06 PM"	
="Unknown"	="NPOC/TN"	="999"	="Pyro_!"	=""	=""	=""	=""	="9.906"	="0.3136"	="mg/L"	="19"	="8/1/2019 11:00:19 PM"	
="Unknown"	="NPOC/TN"	="1001"	="Pyro_!"	=""	=""	=""	=""	="9.758"	="0.02284"	="mg/L"	="20"	="8/1/2019 11:17:52 PM"	
="Unknown"	="NPOC/TN"	="1003"	="Pyro_!"	=""	=""	=""	=""	="5.724"	="0.1834"	="mg/L"	="21"	="8/1/2019 11:38:23 PM"	
="Unknown"	="NPOC/TN"	="1005"	="Pyro_!"	=""	=""	=""	=""	="5.864"	="0.07721"	="mg/L"	="22"	="8/1/2019 11:58:53 PM"	
="Unknown"	="NPOC/TN"	="1007"	="Pyro_!"	=""	=""	=""	=""	="5.672"	="0.1007"	="mg/L"	="23"	="8/2/2019 12:21:22 AM"	
="Unknown"	="NPOC/TN"	="1009"	="Pyro_!"	=""	=""	=""	=""	="16.43"	="0.4012"	="mg/L"	="24"	="8/2/2019 12:43:59 AM"	
="Unknown"	="NPOC/TN"	="1011"	="Pyro_!"	=""	=""	=""	=""	="16.84"	="0.9396"	="mg/L"	="25"	="8/2/2019 1:06:14 AM"	
="Unknown"	="NPOC/TN"	="1013"	="Pyro_!"	=""	=""	=""	=""	="16.63"	="0.5121"	="mg/L"	="26"	="8/2/2019 1:22:31 AM"	
