="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="8/5/2019 11:00:05 AM"	
="Comments"	="final 8 samples!
"	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 11:45:03 AM"	="1"	="1"	="NPOC"	="5.954"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 11:48:17 AM"	="1"	="2"	="NPOC"	="9.213"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 11:52:52 AM"	="1"	="3"	="NPOC"	="9.464"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 11:56:13 AM"	="1"	="4"	="NPOC"	="9.618"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 11:59:02 AM"	="1"	="5"	="NPOC"	="9.186"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:07:26 PM"	="2"	="1"	="NPOC"	="24.29"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:10:25 PM"	="2"	="2"	="NPOC"	="24.46"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:13:48 PM"	="2"	="3"	="NPOC"	="26.09"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_05_11_33_40.cal"	=""	1.00	=""	="8/5/2019 12:16:56 PM"	="2"	="4"	="NPOC"	="25.31"	="5.000"	=" "	1	="80"	
