="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="7/15/2019 8:15:30 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 12:36:07 PM"	="1"	="1"	="NPOC"	="7.818"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 12:38:40 PM"	="1"	="2"	="NPOC"	="8.288"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 12:41:12 PM"	="1"	="3"	="NPOC"	="8.480"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 12:43:49 PM"	="1"	="4"	="NPOC"	="8.472"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 12:51:55 PM"	="2"	="1"	="NPOC"	="22.02"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 12:54:45 PM"	="2"	="2"	="NPOC"	="22.22"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 12:57:41 PM"	="2"	="3"	="NPOC"	="23.03"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 1:00:27 PM"	="2"	="4"	="NPOC"	="22.93"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 1:08:45 PM"	="3"	="1"	="NPOC"	="44.41"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_15_12_27_13.cal"	=""	1.00	=""	="7/15/2019 1:11:41 PM"	="3"	="2"	="NPOC"	="44.21"	="10.00"	=" "	0	="80"	
