="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="7/25/2019 11:31:52 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="TOC"	="TC"	="IC"	="POC"	="NPOC"	="TN"	="Unit"	="Vial"	="Date / Time"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	=""	=""	=""	=""	="100.0"	=""	="mg/L"	="1, 1, 1, 1, 1, 1"	="7/25/2019 2:05:42 PM"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	=""	=""	=""	=""	=""	="25.00"	="mg/L"	="2, 2, 2, 2, 2, 2"	="7/25/2019 3:49:11 PM"	
="Unknown"	="NPOC/TN"	="100ppm"	="100ppm"	=""	=""	=""	=""	="95.63"	="101.5"	="mg/L"	="3"	="7/25/2019 4:07:45 PM"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	=""	=""	=""	=""	="0.8255"	="0.04892"	="mg/L"	="4"	="7/25/2019 4:22:47 PM"	
="Unknown"	="NPOC/TN"	="655"	="DI"	=""	=""	=""	=""	="5.660"	="0.3641"	="mg/L"	="5"	="7/25/2019 4:40:39 PM"	
="Unknown"	="NPOC/TN"	="657"	="DI"	=""	=""	=""	=""	="5.077"	="0.3463"	="mg/L"	="6"	="7/25/2019 5:00:44 PM"	
="Unknown"	="NPOC/TN"	="659"	="DI"	=""	=""	=""	=""	="5.160"	="0.3809"	="mg/L"	="7"	="7/25/2019 5:18:39 PM"	
="Unknown"	="NPOC/TN"	="661"	="DI"	=""	=""	=""	=""	="6.923"	="0.3405"	="mg/L"	="8"	="7/25/2019 5:39:54 PM"	
="Unknown"	="NPOC/TN"	="663"	="DI"	=""	=""	=""	=""	="7.293"	="0.2869"	="mg/L"	="9"	="7/25/2019 5:58:34 PM"	
="Unknown"	="NPOC/TN"	="665"	="DI"	=""	=""	=""	=""	="7.016"	="0.3766"	="mg/L"	="10"	="7/25/2019 6:20:04 PM"	
="Unknown"	="NPOC/TN"	="667"	="DI"	=""	=""	=""	=""	="2.997"	="0.1779"	="mg/L"	="11"	="7/25/2019 6:39:56 PM"	
="Unknown"	="NPOC/TN"	="669"	="DI"	=""	=""	=""	=""	="2.987"	="0.2119"	="mg/L"	="12"	="7/25/2019 6:59:53 PM"	
="Unknown"	="NPOC/TN"	="671"	="DI"	=""	=""	=""	=""	="3.376"	="0.2195"	="mg/L"	="13"	="7/25/2019 7:19:50 PM"	
="Unknown"	="NPOC/TN"	="673"	="DI"	=""	=""	=""	=""	="14.23"	="2.205"	="mg/L"	="14"	="7/25/2019 7:42:29 PM"	
="Unknown"	="NPOC/TN"	="675"	="DI"	=""	=""	=""	=""	="15.76"	="2.750"	="mg/L"	="15"	="7/25/2019 8:01:51 PM"	
="Unknown"	="NPOC/TN"	="677"	="DI"	=""	=""	=""	=""	="15.06"	="2.274"	="mg/L"	="16"	="7/25/2019 8:21:20 PM"	
="Unknown"	="NPOC/TN"	="679"	="DI"	=""	=""	=""	=""	="3.216"	="0.2832"	="mg/L"	="17"	="7/25/2019 8:41:22 PM"	
="Unknown"	="NPOC/TN"	="681"	="DI"	=""	=""	=""	=""	="3.094"	="0.2580"	="mg/L"	="18"	="7/25/2019 9:01:19 PM"	
="Unknown"	="NPOC/TN"	="683"	="DI"	=""	=""	=""	=""	="3.205"	="0.3002"	="mg/L"	="19"	="7/25/2019 9:21:15 PM"	
="Unknown"	="NPOC/TN"	="685"	="DI"	=""	=""	=""	=""	="4.519"	="0.4787"	="mg/L"	="20"	="7/25/2019 9:38:47 PM"	
="Unknown"	="NPOC/TN"	="687"	="DI"	=""	=""	=""	=""	="4.752"	="0.5237"	="mg/L"	="21"	="7/25/2019 9:59:34 PM"	
="Unknown"	="NPOC/TN"	="100ppm"	="100ppm"	=""	=""	=""	=""	="91.72"	="97.53"	="mg/L"	="3"	="7/25/2019 10:23:12 PM"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	=""	=""	=""	=""	="0.8432"	="0.04892"	="mg/L"	="4"	="7/25/2019 10:38:08 PM"	
="Unknown"	="NPOC/TN"	="689"	="DI"	=""	=""	=""	=""	="4.385"	="0.4708"	="mg/L"	="22"	="7/25/2019 10:59:38 PM"	
="Unknown"	="NPOC/TN"	="691"	="DI"	=""	=""	=""	=""	="13.67"	="0.6739"	="mg/L"	="23"	="7/25/2019 11:22:36 PM"	
="Unknown"	="NPOC/TN"	="693"	="DI"	=""	=""	=""	=""	="14.56"	="0.6722"	="mg/L"	="24"	="7/25/2019 11:42:21 PM"	
="Unknown"	="NPOC/TN"	="695"	="DI"	=""	=""	=""	=""	="13.89"	="0.5891"	="mg/L"	="25"	="7/26/2019 12:05:28 AM"	
="Unknown"	="NPOC/TN"	="697"	="DI"	=""	=""	=""	=""	="33.23"	="1.255"	="mg/L"	="26"	="7/26/2019 12:28:46 AM"	
