="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	="laurel"	
="Date of creation"	="7/28/2019 6:52:01 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="TOC"	="TC"	="IC"	="POC"	="NPOC"	="TN"	="Unit"	="Vial"	="Date / Time"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	=""	=""	=""	=""	="100.0"	=""	="mg/L"	="1, 1, 1, 1, 1, 1"	=""	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	=""	=""	=""	=""	=""	="25.00"	="mg/L"	="2, 2, 2, 2, 2, 2"	="7/28/2019 9:07:35 AM"	
="Unknown"	="NPOC/TN"	="25 ppm"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="24.94"	="mg/L"	="3"	="7/28/2019 9:28:16 AM"	
="Unknown"	="NPOC/TN"	="DI"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.02634"	="mg/L"	="4"	="7/28/2019 9:43:00 AM"	
="Unknown"	="NPOC/TN"	="765"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="1.349"	="mg/L"	="5"	="7/28/2019 10:05:56 AM"	
="Unknown"	="NPOC/TN"	="767"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="1.157"	="mg/L"	="6"	="7/28/2019 10:28:23 AM"	
="Unknown"	="NPOC/TN"	="769"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.3698"	="mg/L"	="7"	="7/28/2019 10:47:53 AM"	
="Unknown"	="NPOC/TN"	="771"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.3335"	="mg/L"	="8"	="7/28/2019 11:10:22 AM"	
="Unknown"	="NPOC/TN"	="773"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.4667"	="mg/L"	="9"	="7/28/2019 11:32:41 AM"	
="Unknown"	="NPOC/TN"	="775"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.1584"	="mg/L"	="10"	="7/28/2019 11:54:10 AM"	
="Unknown"	="NPOC/TN"	="777"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.02634"	="mg/L"	="11"	="7/28/2019 12:12:39 PM"	
="Unknown"	="NPOC/TN"	="779"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.02634"	="mg/L"	="12"	="7/28/2019 12:33:24 PM"	
="Unknown"	="NPOC/TN"	="781"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.3817"	="mg/L"	="13"	="7/28/2019 12:51:41 PM"	
="Unknown"	="NPOC/TN"	="783"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.5228"	="mg/L"	="14"	="7/28/2019 1:13:44 PM"	
="Unknown"	="NPOC/TN"	="785"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.4971"	="mg/L"	="15"	="7/28/2019 1:31:59 PM"	
="Unknown"	="NPOC/TN"	="787"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.02634"	="mg/L"	="16"	="7/28/2019 1:48:59 PM"	
="Unknown"	="NPOC/TN"	="789"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.02634"	="mg/L"	="17"	="7/28/2019 2:06:04 PM"	
="Unknown"	="NPOC/TN"	="791"	="Pyro_!"	=""	=""	=""	=""	="0.000"	="0.1157"	="mg/L"	="18"	="7/28/2019 2:25:39 PM"	
