="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="7/30/2019 11:33:02 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="TOC"	="TC"	="IC"	="POC"	="NPOC"	="TN"	="Unit"	="Vial"	="Date / Time"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	=""	=""	=""	=""	="100.0"	=""	="mg/L"	="2, 2, 2, 2, 2, 2"	="7/30/2019 1:42:07 PM"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	=""	=""	=""	=""	=""	="25.00"	="mg/L"	="3, 3, 3, 3, 3, 3"	="7/30/2019 3:18:30 PM"	
="Unknown"	="NPOC/TN"	="25 ppm"	="Pyro_!"	=""	=""	=""	=""	="24.90"	="23.96"	="mg/L"	="4"	="7/30/2019 3:40:39 PM"	
="Unknown"	="NPOC/TN"	="DI"	="Pyro_!"	=""	=""	=""	=""	="0.6263"	="0.7254"	="mg/L"	="5"	="7/30/2019 3:59:03 PM"	
="Unknown"	="NPOC/TN"	="887"	="Pyro_!"	=""	=""	=""	=""	="2.700"	="0.6866"	="mg/L"	="6"	="7/30/2019 4:16:40 PM"	
="Unknown"	="NPOC/TN"	="889"	="Pyro_!"	=""	=""	=""	=""	="2.986"	="0.4903"	="mg/L"	="7"	="7/30/2019 4:35:27 PM"	
="Unknown"	="NPOC/TN"	="891"	="Pyro_!"	=""	=""	=""	=""	="2.865"	="0.4791"	="mg/L"	="8"	="7/30/2019 4:55:14 PM"	
="Unknown"	="NPOC/TN"	="893"	="Pyro_!"	=""	=""	=""	=""	="2.908"	="0.4964"	="mg/L"	="9"	="7/30/2019 5:13:29 PM"	
="Unknown"	="NPOC/TN"	="895"	="Pyro_!"	=""	=""	=""	=""	="4.569"	="2.209"	="mg/L"	="10"	="7/30/2019 5:32:25 PM"	
="Unknown"	="NPOC/TN"	="897"	="Pyro_!"	=""	=""	=""	=""	="4.808"	="2.648"	="mg/L"	="11"	="7/30/2019 5:49:19 PM"	
="Unknown"	="NPOC/TN"	="899"	="Pyro_!"	=""	=""	=""	=""	="4.922"	="2.342"	="mg/L"	="12"	="7/30/2019 6:06:03 PM"	
