="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="7/31/2019 12:33:09 PM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:13:46 PM"	="1"	="1"	="NPOC"	="8.525"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:15:52 PM"	="1"	="2"	="NPOC"	="9.569"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:18:01 PM"	="1"	="3"	="NPOC"	="9.255"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:20:08 PM"	="1"	="4"	="NPOC"	="9.295"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:27:50 PM"	="2"	="1"	="NPOC"	="24.66"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:30:35 PM"	="2"	="2"	="NPOC"	="24.64"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:33:01 PM"	="2"	="3"	="NPOC"	="25.98"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:35:29 PM"	="2"	="4"	="NPOC"	="25.40"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:44:07 PM"	="3"	="1"	="NPOC"	="49.03"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:46:51 PM"	="3"	="2"	="NPOC"	="48.78"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:49:27 PM"	="3"	="3"	="NPOC"	="50.49"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 1:57:42 PM"	="4"	="1"	="NPOC"	="97.61"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 2:00:17 PM"	="4"	="2"	="NPOC"	="97.66"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 2:02:55 PM"	="4"	="3"	="NPOC"	="102.6"	="20.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_31_13_05_20.cal"	=""	1.00	=""	="7/31/2019 2:05:31 PM"	="4"	="4"	="NPOC"	="98.41"	="20.00"	=" "	0	="80"	
