old_ID,unique_ID,pedon_ID,horizon,State,vial_unfum,unfum_weight,NPOC,TN,vial_fum,fum_weight,fum_NPOC,fum_TN,rep
1,1,2,a,OH,139,10.018,9.0579564,0.10998537,140,10.003,46.1652755,6.45184461,1
1,1,2,a,OH,143,10.085,9.5986637,0.18695856,144,10.045,51.1748698,6.74613705,2
1,1,2,a,OH,141,10.027,9.5527481,0.23101671,142,10.038,49.7974027,7.35243663,3
4,2,3,a,OH,937,10.055,12.9918637,4.79337031,938,10.012,73.9390088,11.6921421,1
4,2,3,a,OH,939,10.036,13.379733,5.02531035,940,10.012,80.5045401,12.6690141,2
4,2,3,a,OH,941,10.071,13.9536141,5.00096078,942,10.059,82.7504616,12.8093337,3
7,3,4,a,IN,209,10.027,4.6262364,1.15752551,210,10.073,18.5519037,3.28188776,1
7,3,4,a,IN,205,10.02,4.4481388,1.23565051,206,10.064,18.7846368,3.38105867,2
7,3,4,a,IN,207,10.068,4.4672967,1.21875,208,10.018,18.9967928,3.57397959,3
10,4,5,a,IL,877,10.044,4.4174038,3.48722519,878,10.065,24.7009686,7.77064765,1
10,4,5,a,IL,881,10.074,4.5469232,3.466429,882,10.075,26.9468902,8.03594771,2
10,4,5,a,IL,879,10.027,4.6034157,3.50802139,880,10.018,25.0040991,8.09655377,3
13,5,6,a,IL,929,10.032,2.9444651,1.90319929,930,10.015,13.4334697,4.3711734,1
13,5,6,a,IL,927,10.043,2.9472208,1.90361199,928,10,13.8654307,4.37530045,2
13,5,6,a,IL,925,10.063,2.7997892,1.74348257,926,10.072,14.7934234,4.67162243,3
20,6,8,a,WI,943,10.044,2.668203,0.92603837,944,10.015,10.7976122,2.12440901,1
20,6,8,a,WI,947,10.012,2.4197049,0.94056557,948,10.043,13.790337,2.60108294,2
20,6,8,a,WI,945,10.028,2.5841532,0.91691759,946,10.031,13.9267458,2.65432184,3
23,7,9,a,MN,133,10.01,3.2821889,0,134,10.023,16.9081483,1.83402478,1
23,7,9,a,MN,137,10.045,3.4572211,0.48768756,138,10.013,19.2909608,2.26432033,2
23,7,9,a,MN,135,10.026,3.3713653,0.47831862,136,10.049,19.059327,2.27003474,3
26,8,10,a,MN,919,10.051,3.1153205,1.26845946,920,10.003,11.9922219,3.5280177,1
26,8,10,a,MN,921,10.005,3.2496624,1.40011226,922,10.018,18.5935778,4.55771593,2
26,8,10,a,MN,923,10.009,3.1738798,1.39392169,924,10.006,23.1784268,4.77810024,3
28,9,11,a,SD,955,10.05,4.6372447,1.39066882,956,10.02,85.4011541,11.231931,1
28,9,11,a,SD,957,10.05,5.0437887,1.43263215,958,10.008,76.0768696,11.8263215,2
28,9,11,a,SD,959,10.094,5.5880332,1.48462783,960,10.001,85.6044261,11.881877,3
31,10,12,a,SD,895,10.034,4.5689691,2.20901347,896,10.075,39.1203359,11.2266112,1
31,10,12,a,SD,897,10.03,4.8080288,2.64771857,898,10.019,57.0257041,12.4416138,2
31,10,12,a,SD,899,10.014,4.9223917,2.34190438,900,10.024,75.3513214,16.6309793,3
34,11,13,a,SD,967,10.028,10.7052425,2.38295577,968,10.009,24.8523196,7.0210356,1
34,11,13,a,SD,969,10.082,9.7787155,2.38187702,970,10.017,25.3900069,7.5,2
34,11,13,a,SD,971,10.069,9.4856103,2.56688242,972,10.04,26.485053,7.83225458,3
36,12,14,a,SD,169,10.01,,,170,10.018,26.6682908,6.77585202,1
36,12,14,a,SD,171,10.051,10.7616297,0.77760063,172,10.022,27.2508018,7.41129511,2
36,12,14,a,SD,173,10.066,10.9370683,0.70377037,174,10.016,27.1480058,7.49129694,3
39,13,15,a,WY,893,10.004,2.9079517,0.49641277,894,10.052,20.72927,2.10501189,1
39,13,15,a,WY,891,10.021,2.8645489,0.47907917,892,10.048,20.3503569,2.18301307,2
39,13,15,a,WY,889,10.04,2.9858011,0.49026347,890,10.054,20.7898961,2.21437863,3
42,14,16,a,WY,349,10.115,6.6602678,0.53406952,350,10.196,45.4432115,4.83076794,1
42,14,16,a,WY,353,10.465,6.212345,0.45750503,354,10.208,50.7310916,4.97126507,2
42,14,16,a,WY,351,10.302,6.7629314,0.56790483,352,10.343,50.9139172,5.29930651,3
44,15,17,a,MT,211,10.036,4.0976202,0.61323342,212,10.007,56.4277889,8.48086735,1
