old_ID,unique_ID,pedon_ID,horizon,reps,sample_ID,location,rocky,bag_wet_soil,tin_weight,bag_weight,tin_ovendry_weight,tin_airdry_weight
1,1,2,a,1,2-A-Db-2,Whitlam Woods,n,119.74,6.7,5.8,87.9,89.2
1,1,2,a,2,2-A-Db-1,Whitlam Woods,n,134.36,6.7,5.8,92.8,94.3
1,1,2,a,3,2-A-Db-3,Whitlam Woods,n,138.15,6.7,5.8,93.9,95.4
4,2,3,a,1,3-A-Db-2,Punderson Park,n,109.33,6.7,5.8,71.6,72.5
4,2,3,a,2,3-A-Db-1,Punderson Park,n,120.43,6.7,5.8,76.3,77.3
4,2,3,a,3,3-A-Db-3,Punderson Park,n,124.5,6.7,5.8,83.3,84.4
7,3,4,a,1,4-A-Db-2,Potato Creek,n,136.01,6.7,5.8,114.2,115
7,3,4,a,2,4-A-Db-1,Potato Creek,n,152.25,6.7,5.8,126.9,127.9
7,3,4,a,3,4-A-Db-3,Potato Creek,n,154.44,6.7,5.8,127.7,128.7
10,4,5,a,1,5-A-Db-2,Shoe Factory Rd,n,131.88,6.7,5.8,100.1,102.6
10,4,5,a,2,5-A-Db-3,Shoe Factory Rd,n,136.83,6.7,5.8,109,111.6
10,4,5,a,3,5-A-Db-1,Shoe Factory Rd,n,143.46,6.7,5.8,111,113.7
13,5,6,a,1,6-A-Db-1,Pecatonica,n,130.18,6.7,5.8,96.4,99
13,5,6,a,2,6-A-Db-2,Pecatonica,n,139.47,6.7,5.8,104.5,107.5
13,5,6,a,3,6-A-Db-3,Pecatonica,n,155.62,6.7,5.8,120.3,123.5
20,6,8,a,1,8-A-Db-2,Fox Coulee,n,116.6,6.7,5.8,88.3,90.6
20,6,8,a,2,8-A-Db-3,Fox Coulee,n,122.2,6.7,5.8,92.7,95.4
20,6,8,a,3,8-A-Db-1,Fox Coulee,n,156.2,6.7,5.8,118.5,121.5
23,7,9,a,1,9-A-Db-1,Great Bluffs,n,145.3,6.7,5.8,117.9,119.5
23,7,9,a,2,9-A-Db-3,Great Bluffs,n,153.9,6.7,5.8,123.5,125.3
23,7,9,a,3,9-A-Db-2,Great Bluffs,n,155.4,6.7,5.8,124.5,126.1
26,8,10,a,1,10-A-Db-3,Blue mounds,n,113.1,6.7,5.8,90,
26,8,10,a,2,10-A-Db-1,Blue mounds,n,119.1,6.7,5.8,95.2,
