unique_ID,pedon_ID,horizon,rep,soil_weight_g,sand_pom_pan_weight_g,sand_and_POM_and_pan_weight_g ,pan_SC1_weight_g,pan_SC2_weight_g,pan_and_SC1_weight_g,pan_and_SC2_weight_g,total_sc_pan_g,total_sc_and_pan_g
1,2,a,1,8.102,6.858,9.2,11.873,,17.794,,11.873,17.794
2,3,a,1,9.086,6.813,11.393,11.885,,16.522,,11.885,16.522
3,4,a,1,10.019,6.77,11.942,13.709,,18.597,,13.709,18.597
4,5,a,1,10.01,13.901,15.611,13.966,,21.949,,13.966,21.949
5,6,a,1,10.026,11.875,13.375,11.822,,19.92,,11.822,19.92
6,8,a,1,9.553,6.758,7.733,13.949,,22.64,,13.949,22.64
7,9,a,1,9.641,6.813,7.312,11.963,,20.71,,11.963,20.71
8,10,a,1,8.414,6.826,7.73,12.101,,19.591,,12.101,19.591
9,11,a,1,9.025,6.637,8.14,13.897,,21.61,,13.897,21.61
10,12,a,1,10.021,6.792,9.327,13.674,,20.97,,13.674,20.97
11,13,a,1,10.027,6.888,13.825,13.965,,16.716,,13.965,16.716
12,14,a,1,7.592,6.664,12.427,11.6,,13.584,,11.6,13.584
13,15,a,1,10.04,6.817,10.062,7.058,,13.647,,7.058,13.647
14,16,a,1,10.033,6.901,10.175,14.066,,20.783,,14.066,20.783
15,17,a,1,10.006,14.122,21.073,11.859,,14.99,,11.859,14.99
16,18,a,1,10.031,6.897,12.605,6.862,,10.852,,6.862,10.852
17,19,a,1,10.014,13.949,19.078,13.635,,18.46,,13.635,18.46
18,20,a,1,8.856,6.872,13.056,13.795,,16.531,,13.795,16.531
19,21,a,1,5.524,6.844,11.441,13.657,,14.583,,13.657,14.583
20,22,a,1,6.469,6.967,10.344,11.838,,15.135,,11.838,15.135
21,23,a,1,7.076,6.841,11.787,13.943,,16.086,,13.943,16.086
22,24,a,1,7.92,6.842,11.999,11.76,,14.502,,11.76,14.502
23,25,a,1,9.42,6.867,12.555,11.843,,15.669,,11.843,15.669
24,26,a,1,10.024,6.858,10.44,6.9,,12.845,,6.9,12.845
25,27,a,1,10.024,13.909,19.527,14.2,,18.096,,14.2,18.096
26,28,a,1,7.795,6.778,12.834,11.821,,13.694,,11.821,13.694
27,29,a,1,8.702,6.925,13.05,11.825,,14.592,,11.825,14.592
28,30,a,1,10.017,11.856,19.099,11.898,,14.813,,11.898,14.813
29,31,a,1,9.971,6.765,14.379,11.704,,14.172,,11.704,14.172
30,32,a,1,10.014,6.935,10.441,6.75,,13.066,,6.75,13.066
31,33,a,1,10.032,6.932,12.117,11.773,,16.553,,11.773,16.553
32,34,a,1,10.007,12.01,16.91,11.921,,16.977,,11.921,16.977
33,35,a,1,10.027,6.57,14.205,13.917,,16.362,,13.917,16.362
34,36,a,1,10.01,11.729,21.237,11.73,,12.299,,11.73,12.299
35,37,a,1,9.342,6.944,11.69,11.936,,16.63,,11.936,16.63
36,38,a,1,9.332,6.797,8.609,11.965,,19.63,,11.965,19.63
37,39,a,1,10.025,11.876,20.295,11.805,,13.514,,11.805,13.514
38,40,a,1,10.007,11.743,17.198,12.074,,16.558,,12.074,16.558
39,41,a,1,9.783,6.767,10.199,11.79,,18.307,,11.79,18.307
40,42,a,1,6.001,11.653,13.751,11.521,,15.112,,11.521,15.112
41,43,a,1,8.729,6.89,9.642,11.8989,,17.923,,11.8989,17.923
42,44,a,1,10.014,11.882,15.019,11.942,,18.844,,11.942,18.844
43,45,a,1,10.012,6.8,10.014,6.952,6.864,9.663,10.815,13.816,20.478
44,46,a,1,10.025,6.787,9.242,6.832,6.839,8.156,12.888,13.671,21.044
45,47,a,1,10.03,11.818,17.143,11.701,,16.413,,11.701,16.413
46,48,a,1,10.002,6.944,14.156,6.802,6.865,8.18,8.258,13.667,16.438
47,49,a,1,6.861,6.779,11.175,11.708,,14.349,,11.708,14.349
48,50,a,1,10.031,11.733,13.648,11.705,,19.745,,11.705,19.745
49,51,a,1,10.005,11.713,14.008,11.842,,19.065,,11.842,19.065
50,52,a,1,10.003,11.853,17.608,11.915,,16.22,,11.915,16.22
51,53,a,1,7.933,6.9,11.859,13.713,,16.804,,13.713,16.804
52,54,a,1,9.101,7.037,9.032,13.958,,21.215,,13.958,21.215
53,55,a,1,8.772,6.991,10.357,13.682,,19.206,,13.682,19.206
54,56,a,1,9.281,6.961,14.378,11.819,,13.841,,11.819,13.841
55,57,a,1,5.648,6.558,10.857,11.768,,13.157,,11.768,13.157
56,58,a,1,8.205,6.879,10.775,14.067,,18.561,,14.067,18.561
57,59,a,1,8.448,6.832,8.234,14.003,,21.182,,14.003,21.182
58,60,a,1,7.665,6.627,9.1,13.967,,19.22,,13.967,19.22
