pedon_ID,location,state,latitude,longitude,sampled_depth,order,elevation_m,region,biome,MAT_C,MAP_mm,aridity_index
2,Whitlam Woods,ohio,41.6311,-81.19026,22,alfisol,332,midwest,temperate deciduous forest,8.77,1092,0.783
3,Punderson Park,ohio,41.46,-81.20551,20,alfisol,353,midwest,temperate deciduous forest,8.88,1081,0.764
4,Potato Creek,indiana,41.56243,-86.36213,32,alfisol,245,midwest,temperate deciduous forest,9.67,991,0.657
5,Shoe Factory Road,indiana,42.06039,-88.15951,50,mollisol,262,midwest,temperate deciduous forest,8.9,917,0.616
6,Pecatonica,illinois,42.31607,-89.3617,50,mollisol,228,midwest,temperate deciduous forest,8.38,883,0.598
7,Blackriver Falls,wisconsin,44.21725,-90.6148,35,spodosol,311,midwest,temperate deciduous forest,6.54,842,0.64
8,Fox Coulee,wisconsin,44.46521,-92.02736,40,entisol,211,midwest,temperate deciduous forest,7.24,805,0.574
9,Great Bluffs,minnesota,43.94445,-91.39575,45,alfisol,391,great plains,temperate deciduous forest,7.16,828,0.591
10,Blue Mounds,minnesota,43.69268,-96.18832,48,mollisol,489,great plains,temperate grassland,6.98,685,0.443
11,Good Soldier,south dakota,44.01227,-99.4501,45,vertisol,489,great plains,temperate grassland,8.22,475,0.26
12,Cottonwood,south dakota,43.98026,-101.89979,30,inceptisol,1087,great plains,temperate grassland,8.44,433,0.216
13,Stagebarn,south dakota,44.20622,-103.37358,15,entisol,1102,great plains,temperate grassland,8.02,501,0.25
14,Spearfish,south dakota,44.45069,-103.86455,36,alfisol,1306,great plains,temperate grassland,7.38,559,0.296
15,Twisted Cedar,wyoming,44.13849,-104.59112,18,aridisol,1306,mountain west,temperate grassland,6.93,386,0.2
16,Tensleep,wyoming,44.05055,-107.43088,20,entisol,1409,mountain west,desert,7.24,304,0.151
17,Grab Bag,montana,45.5529,-107.34871,45,entisol,972,mountain west,temperate grassland,7.58,411,0.208
18,Potosi,montana,45.57203,-111.91427,25,inceptisol,1907,mountain west,temperate grassland,3.44,428,0.276
19,Turah,montana,46.63344,-114.58388,35,inceptisol,1632,mountain west,temperate coniferous forest,3.64,388,0.273
20,Clearwater,idaho,46.51269,-114.76499,16,andisol,1131,mountain west,temperate coniferous forest,6.25,236,0.157
21,Olympic,washington,47.35765,-123.88751,29,andisol,287,pacific coast,temperate coniferous forest,9.18,3205,2.825
22,Disappointment,washington,46.30717,-124.06658,40,andisol,30,pacific coast,temperate coniferous forest,10.38,2082,1.826
23,Clatsop,oregon,46.0656,-123.65753,29,inceptisol,260,pacific coast,temperate deciduous forest,9.48,2274,1.972
24,Siuslaw,oregon,44.48822,-123.53664,15,andisol,733,pacific coast,temperate deciduous forest,8.72,2757,2.101
25,Alsea,oregon,44.47251,-123.50966,24,ultisol,502,pacific coast,temperate deciduous forest,9.49,2456,1.846
26,Klamath,oregon,42.40148,-121.7994,22,andisol,1526,pacific coast,temperate coniferous forest,6.67,533,0.303
27,Shasta,california,40.17399,-121.03988,32,alfisol,1292,pacific coast,temperate coniferous forest,8.73,921,0.455
28,El Dorado,california,38.80521,-120.10219,40,inceptisol,1997,pacific coast,desert,5.8,911,0.464
