unique_ID,pedon_ID,horizon,location,state,latitude_longitude_full,latitude,longitude,depth_inches,horizon_top_inches,horizon_bottom_inches,horizon_middle_inches,total_depth_sampled_inches,region,soil_order,dominant_vegetation_class,soil_moisture_regime,soil_temperature_regime,elevation_m,horizon_old,mat_c,map_mm,aridity,series_extent_map_acres,common_vegetation,soil_family,soil_series_name,date_sampled,soil_series_checked with red book,mean_GWC,mean_HWC,mean_VWC,mean_db,pH,percent_carbonate,delta13C_vs_VPDB,delta15N_vs_at_air_air,SOC,TN,HH_DOC_mg_g,Fe_mg_g,Al_mg_g,Fe_plus_Al,relative_coarse_fraction,relative_fine_fraction,fine_coarse_ratio,extract,Ca,Mg,Na,K,CEC,mean_DOC_wet,mean_DN_wet,mean_MBC_wet,mean_MBN_wet,texture_class,sand,silt,clay,silt_clay
1,2,a,Whitlam Woods,OH,"41.63110, -81.19026",41.6311,-81.19026,0-8,0,8,4,22,northeast,alfisol,deciduous hardwood forest,aquic,mesic,332,a,8.77,1092,0.783,204577,deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",ellsworth,6-18-19,x,0.471374901,0.016877763,0.504475323,1.06679659,3.84,0,-26.33,3.56,3.7,0.29,3.535175387,3.980011758,3.106016069,7.086027827,0.289064429,0.730807208,2.528181042,ammonium chloride,2.1,0.4,0,0.2,2.7,0.046810782,8.76E-04,0.244509889,0.034150714,Loam,40,45,15,60
2,3,a,Punderson Park,OH,"41.46000, -81.20551",41.46,-81.20551,0-4,0,4,2,20,northeast,alfisol,deciduous hardwood forest,aquic,mesic,353,a,8.88,1081,0.764,204577,deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",ellsworth,6-19-19,x,0.597271511,0.014198539,0.52715261,0.884875285,3.38,0,-26.88,1.93,9.41,0.55,3.632084722,3.60266719,2.278878211,5.881545401,0.504072199,0.510345587,1.012445415,ammonium chloride,2.5,1.1,0.1,0.3,4,0.0668463,0.024566899,0.394205894,0.061776933,Sandy Loam,58.8,32.5,8.8,41.3
3,4,a,Potato Creek,IN,"41.56243, -86.36214",41.56243,-86.36214,0-11,0,11,5.5,32,midwest,alfisol,deciduous hardwood forest,udic,mesic,245,a,9.67,991,0.657,165603,mixed deciduous hardwood forest,"Fine-loamy, mixed, active, mesic Typic Hapludalfs",martinsville,6-19-19,x,0.219357196,0.008008597,0.321086911,1.461658039,4.18,0,-25.19,3,0.97,0.12,0.93051605,1.439252336,1.24461601,2.683868346,0.516219184,0.487873041,0.94508894,ammonium chloride,2.5,0.5,0,0.1,3.1,0.022483606,0.005996852,0.093408827,0.016975365,Sandy Loam,53.8,36.3,10,46.3
4,5,a,Shoe Factory Rd,IL,"42.06039, -88.15951",42.06039,-88.15951,0-18,0,18,9,50,midwest,mollisol,grasses,aquic,mesic,262,a,8.9,917,0.616,152788,prairie grasses,"Fine, illitic, mesic Oxyaquic Argiudolls",varna,6-20-19,NA,0.316860065,0.026022968,0.397250738,1.257520538,5.47,0,-23.11,6.91,3.45,0.34,1.516626115,3.096107056,2.613544201,5.709651257,0.170829171,0.797502498,4.668421053,NA,NA,NA,NA,NA,NA,0.022504326,0.017352483,0.127078191,0.039630996,NA,NA,NA,NA,NA
5,6,a,Pecatonica,IL,"42.31607, -89.36171",42.31607,-89.36171,0-23,0,23,11.5,50,midwest,mollisol,grasses,aquic,mesic,228,a,8.38,883,0.598,93530,grasses and trees,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",lawson,6-20-19,x,0.357409673,0.029276456,0.44755156,1.262131447,5.4,0,-24.64,7.64,2.33,0.27,1.020527859,5.004887586,2.441837732,7.446725318,0.149611011,0.80769998,5.398666667,ammonium chloride,16.1,7.8,0,0.3,24.2,0.014419893,0.009208596,0.069944088,0.022296924,Silt Loam,20,56.3,23.8,80.1
6,8,a,Fox Coulee,WI,"44.46521, -92.02736",44.46521,-92.02736,0-17,0,17,8.5,40,midwest,entisol,deciduous hardwood forest,aquic,mesic,211,a,7.24,805,0.574,103588,"red maple, swamp white oak, quaking aspen, and white ash","Mixed, mesic Aquic Udipsamments",algansee,6-21-19,x,0.352196967,0.028805085,0.411628389,1.171170794,5.4,0,-23.54,6.09,1.3,0.15,0.972558515,7.728006457,2.82889427,10.55690073,0.102062179,0.909766565,8.913846154,ammonium chloride,13.5,5.9,0,0.2,19.6,0.012750428,0.004626295,0.063994065,0.012262154,Silt Loam,17.5,63.8,18.8,82.6
7,9,a,Great Bluffs,MN,"43.94445, -91.39575",43.94445,-91.39575,0-9,0,9,4.5,45,midwest,alfisol,deciduous hardwood forest,udic,mesic,391,a,7.16,828,0.591,34302,"deciduous forest with white and red oaks, hickory, and basswood being the more common species","Fine-silty, mixed, superactive, mesic Typic Hapludalfs",Blackhammer,6-21-19,NA,0.26414164,0.014460597,0.383124591,1.449502007,4.48,0,-23.35,3.44,0.89,0.11,0.695687551,2.676973149,1.632424736,4.309397884,0.051758116,0.90727103,17.52905812,NA,NA,NA,NA,NA,NA,0.016805443,0.001604302,0.091836093,0.010583604,NA,NA,NA,NA,NA
8,10,a,Blue Mounds,MN,"43.69268, -96.18832",43.69268,-96.18832,0-30,0,30,15,48,midwest,mollisol,grasses,udic,mesic,489,a,6.98,685,0.443,532701,"native grasses are big bluestem, little bluestem, green needlegrass, sideoats grama, and needle and thread","Fine-silty, mixed, superactive, mesic Pachic Haplustolls",graceville,6-22-19,x,0.284841815,NA,0.313960961,1.102426338,5.28,0,-18.83,6.93,3.84,0.36,1.045418951,2.366875489,2.265074393,4.631949883,0.107439981,0.890183028,8.28539823,ammonium chloride,18.7,5.4,0,0.6,24.7,0.015864295,0.00675684,0.089522205,0.021419536,Loam,32.5,50,17.5,67.5
9,11,a,Good Soldier,SD,"44.01227, -99.45010",44.01227,-99.4501,0-4,0,4,2,45,north central,vertisol,grasses,ustic,mesic,489,a,8.22,475,0.26,1093351,"western wheatgrass, green needlegrass, blue grama, sideoats grama, and sedges","Fine, smectitic, mesic Leptic Haplusterts",Opal,6-22-19,NA,0.251215898,0.046597358,0.267851875,1.063443202,6.92,0,-23.3,1.18,3.77,0.37,0.921749363,3.057462247,1.48617376,4.543636007,0.166537396,0.854626039,5.131736527,NA,NA,NA,NA,NA,NA,0.02528144,0.007133428,0.41140436,0.058178448,NA,NA,NA,NA,NA
10,12,a,Cottonwood,SD,"43.98026, -101.89979",43.98026,-101.89979,0-8,0,8,4,30,north central,inceptisol,grasses,ustic,mesic,1087,a,8.44,433,0.216,1342445,"Native grasses are mainly western wheatgrass, green needlegrass, sideoats grama, blue grama, buffalograss, and forbs","Fine, smectitic, mesic Torrertic Haplustepts",pierre,6-23-19,x,0.271152257,0.033824607,0.383962938,1.420159861,6.73,0.004948224,-25.64,1.1,3.5594062,0.36,1.053897015,0.675415748,1.494890803,2.170306552,0.252968766,0.728071051,2.878106509,ammonium acetate,34.2,2,0,2,38.2,0.023771075,0.011966596,0.284862649,0.066920364,Clay Loam,25,37.5,37.5,75
11,13,a,Stagebarn,SD,"44.20622, -103.37358",44.20622,-103.37358,0-6,0,6,3,15,north central,entisol,shrubs,udic,frigid,1102,a,8.02,501,0.25,23765,"Timothy, Kentucky bluegrass, smooth brome, sedges, cottonwood, boxelder, green ash, and occasional ponderosa pine and Black Hills spruce","Loamy-skeletal over sandy or sandy-skeletal, mixed, superactive, calcareous, frigid Typic Udifluvents",Rapidcreek,6-23-19,NA,0.372740976,0.020031985,0.304739144,0.866012477,7.26,28.82260188,-11.77,0.55,7.811209445,0.3,1.22983871,NA,NA,NA,0.691832053,0.27435923,0.396569122,NA,NA,NA,NA,NA,NA,0.04965857,0.012146832,0.127594041,0.037171741,NA,NA,NA,NA,NA
12,14,a,Spearfish,SD,"44.45069, -103.86455",44.45069,-103.86455,0-5,0,5,2.5,36,north central,alfisol,shrubs,udic,frigid,1306,a,7.38,559,0.296,184486,"ponderosa pine with lesser amounts of aspen, birch, and bur oak. Understory species include Kentucky bluegrass, needlegrass, timber oatgrass, roughleaf ricegrass, and little bluestem. Shrubs include bearberry, oregon-grape, common juniper, buffaloberry, and snowberry","Loamy-skeletal, mixed, superactive, frigid Inceptic Hapludalfs",vanocker,6-24-19,x,0.385433695,0.019626463,0.306835011,0.806070665,6.93,9.603920458,-15.9,0.09,6.117503445,0.3,1.275440977,0.057976352,0.034483427,0.092459779,0.759088514,0.261327713,0.34426514,ammonium acetate,40.2,1.7,0,0.3,42.2,NA,NA,0.13485999,0.036063389,Loamy Sand,77.5,16.3,6.3,22.6
13,15,a,Twisted Cedar,WY,"44.13849, -104.59112",44.13849,-104.59112,0-4.5,0,4.5,2.25,18,west,aridisol,shrubs,ustic,mesic,1306,a,6.93,386,0.2,122218,"western wheatgrass, sedge, blue grama, cactus","Fine, montmorillonitic, mesic Ustic Haplocambids",savageton,6-24-19,x,0.162493909,0.017631593,0.185693866,1.141828649,4.18,0,-24.45,2.95,0.99,0.13,0.565453137,1.834237026,1.314097599,3.148334624,0.323207171,0.6562749,2.030508475,ammonium chloride,6.4,5.5,0.8,0.8,13.5,0.014565401,0.002437666,0.102589018,0.010781987,Clay Loam,33.8,32.5,33.8,66.3
14,16,a,Tensleep,WY,"44.05055, -107.43088",44.05055,-107.43088,0-3,0,3,1.5,20,west,entisol,shrubs,ustic,mesic,1409,a,7.24,304,0.151,100947,"sagebrush, cactus, blue grama, needleandthread","Fine-loamy, mixed (calcareous), mesic Ustic Torriorthents",neville,6-26-19,x,0.078939691,0.01836096,0.104793378,1.327103341,6.92,0.38774247,-21.37,4.44,1.42346985,0.15,0.674509804,0.64745098,1.580784314,2.228235294,0.326323134,0.669490681,2.051618815,ammonium acetate,26.4,3.1,0,1.6,31.1,0.031809217,0.002527385,0.239154193,0.024552405,Silt Loam,32.5,55,12.5,67.5
