Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep,pedon_ID,horizon,HH_DOC_ppm,HH_DOC_mg_g,Fe_mg_g,Al_mg_g,Fe_plus_Al
1,1,2.399,0.7062,0.6367,0.3745,20.31,0.6127,15.85,0.5103,4,45.1,1,2,a,180.4,3.5351753870272393,3.980011757789536,3.106016068979032,7.086027826768568
3,72,2.326,1.414,0.6754,0.3457,16.93,0.2943,13.8,0.5003,2,15,1,2,c,30,0.5996402158704778,3.383969618229063,2.758344993004198,6.142314611233261
4,2,2.477,1.123,0.9862,0.5344,18.37,0.2525,11.62,0.5099,4,46.3,1,3,a,185.2,3.6320847224946062,3.602667189645029,2.2788782114140025,5.881545401059031
6,73,1.836,1.925,0.5038,0.3212,12.37,0.9042,12.4,0.5055,2,20.5,1,3,c,41,0.8110781404549952,2.447082096933729,2.453016815034619,4.900098911968348
7,3,2.107,0.6706,0.5207,0.2773,7.084,3.405,6.126,0.4922,2,22.9,1,4,a,45.8,0.9305160503860218,1.439252336448598,1.2446160097521333,2.6838683462007316
9,74,5.021,1.632,0.7336,0.2316,8.923,1.96,7.554,0.5046,2,7.1,1,4,c,14.2,0.28141101862861667,1.7683313515655965,1.497027348394768,3.2653586999603643
10,4,14.45,4.077,1.64,0.2482,15.27,3.384,12.89,0.4932,2,37.4,1,5,a,74.8,1.516626115166261,3.0961070559610704,2.613544201135442,5.709651257096512
12,75,190.4,144.1,0.7245,0.3237,6.57,1.949,5.738,0.495,2,3.6,1,5,c,7.2,0.14545454545454548,1.3272727272727274,1.1591919191919193,2.486464646464647
13,5,28.1,9.459,2.14,1.526,25.6,8.284,12.49,0.5115,2,26.1,1,6,a,52.2,1.0205278592375369,5.004887585532748,2.4418377321603133,7.446725317693061
15,76,13.58,6.875,0.6311,0.3367,19.89,3.009,10.56,0.4989,5,4.2,1,6,c,21,0.42092603728202044,3.9867708959711368,2.11665664461816,6.103427540589297
17,136,0.3795,0.0769,0.3141,0.2387,3.516,0.0246,1.887,0.4931,2,23.9,1,7,e,47.8,0.9693774082336241,0.713039951328331,0.3826809977692152,1.0957209490975461
19,77,0.2364,0.0716,0.2863,0.2582,3.375,0.0073,4.383,0.5044,5,8,1,7,c,40,0.7930214115781127,0.6691118160190326,0.8689532117367169,1.5380650277557495
20,6,13.91,6.185,0.9019,0.5012,38.3,5.676,14.02,0.4956,2,24.1,1,8,a,48.2,0.9725585149313964,7.728006456820016,2.8288942695722357,10.556900726392252
22,78,4.362,2.693,0.5625,0.3066,16.89,0.6157,5.337,0.4997,2,6.7,1,8,c,13.4,0.2681608965379228,3.3800280168100865,1.0680408244946968,4.448068841304783
23,7,5.588,2.463,0.7404,0.3244,13.16,4.257,8.025,0.4916,2,17.1,1,9,a,34.2,0.6956875508543532,2.676973148901546,1.6324247355573638,4.30939788445891
25,79,9.4,4.218,0.8644,0.2794,11.95,1.142,8.057,0.5045,2,5,1,9,c,10,0.19821605550049556,2.368681863230922,1.597026759167493,3.965708622398415
26,8,20.4,4.781,1.978,0.3447,12.09,3.854,11.57,0.5108,2,26.7,1,10,a,53.4,1.0454189506656226,2.3668754894283475,2.265074393108849,4.631949882537196
28,9,49.37,10.85,7.899,0.8815,15.59,0,7.578,0.5099,2,23.5,1,11,a,47,0.9217493626201216,3.05746224749951,1.486173759560698,4.543636007060208
30,80,72.99,16.69,6.827,7.325,19.2,44.95,5.941,0.5091,2,6.4,1,11,c,12.8,0.25142408171282654,3.7713612256923983,1.1669613042624238,4.938322529954823
31,10,38.12,3.017,4.719,0.321,3.371,2.102,7.461,0.4991,2,26.3,1,12,a,52.6,1.0538970146263276,0.6754157483470247,1.4948908034462032,2.170306551793228
33,81,146.8,4.841,1.894,1.339,5.685,2.707,9.228,0.504,2,8.2,1,12,c,16.4,0.32539682539682535,1.1279761904761905,1.830952380952381,2.9589285714285714
34,11,NA,NA,NA,NA,NA,NA,NA,0.496,5,12.2,1,13,a,61,1.2298387096774193,NA,NA,NA
36,12,362.4,72.73,0.9383,0.596,0.2991,1.738,0.1779,0.5159,2,32.9,1,14,a,65.8,1.2754409769335142,0.05797635200620274,0.034483427020740455,0.09245977902694319
38,82,450.9,20.23,0.6523,0.2351,0.4551,1.922,0.0739,0.503,2,14,1,14,c,28,0.5566600397614314,0.09047713717693838,0.014691848906560634,0.10516898608349902
39,13,6.704,3.219,2.343,1.386,9.472,0.5294,6.786,0.5164,2,14.6,1,15,a,29.2,0.5654531371030209,1.8342370255615803,1.3140975987606507,3.148334624322231
41,83,46.94,18.78,4.319,0.436,3.627,1.62,7.916,0.5017,NA,NA,1,15,c,NA,NA,0.7229419972094876,1.577835359776759,2.3007773569862464
42,14,57.6,20.51,4.883,0.416,3.302,1.943,8.062,0.51,2,17.2,1,16,a,34.4,0.6745098039215686,0.647450980392157,1.58078431372549,2.228235294117647
