unique_ID.x,pedon_ID,horizon,soil_weight_mg,delta13C_vs_VPDB,delta15N_vs_at_air_air,percent_C,percent_N,rep,unique_ID.y,mg_IC_g_soil,mg_IC_g_soil_zero,pH,percent_carbonate,SOC,TN
1,2,a,5.084,-26.33,3.56,3.7,0.29,1,1,-0.306660047,0,3.84,0,3.7,0.29
2,3,a,5.171,-26.88,1.93,9.41,0.55,1,2,-0.190153555,0,3.38,0,9.41,0.55
3,4,a,4.993,-25.19,3,0.97,0.12,1,3,-0.155175186,0,4.18,0,0.97,0.12
4,5,a,5.073,-23.11,6.91,3.45,0.34,1,4,-0.254756314,0,5.47,0,3.45,0.34
5,6,a,5.122,-24.64,7.64,2.33,0.27,1,5,-0.190649381,0,5.4,0,2.33,0.27
6,8,a,4.994,-23.54,6.09,1.3,0.15,1,6,-0.156663306,0,5.4,0,1.3,0.15
7,9,a,5.072,-23.35,3.44,0.89,0.11,1,7,-0.154463899,0,4.48,0,0.89,0.11
8,10,a,5.006,-18.83,6.93,3.84,0.36,1,8,-0.17717877,0,5.28,0,3.84,0.36
9,11,a,5.107,-23.3,1.18,3.77,0.37,1,9,-0.04102536,0,6.92,0,3.77,0.37
10,12,a,5.142,-25.64,1.1,3.56,0.36,1,10,0.005938003,0.005938003,6.73,0.004948223770976713,3.5594061997,0.36
11,13,a,5.369,-11.77,0.55,11.27,0.3,1,11,34.58790555,34.58790555,7.26,28.82260187992619,7.811209444999999,0.3
12,14,a,5.077,-15.9,0.09,7.27,0.3,1,12,11.52496555,11.52496555,6.93,9.603920458476981,6.117503445,0.3
13,15,a,5.448,-24.45,2.95,0.99,0.13,1,13,-0.169055666,0,4.18,0,0.99,0.13
14,16,a,5.084,-21.37,4.44,1.47,0.15,1,14,0.465301502,0.465301502,6.92,0.38774247046819754,1.4234698498,0.15
15,17,a,5.027,-25.98,3.04,1.66,0.2,1,15,-0.262828296,0,6.97,0,1.66,0.2
16,18,a,5.567,-25.37,4.39,4.78,0.31,1,16,-0.199300515,0,4.3,0,4.78,0.31
17,19,a,5.059,-26.27,1.84,3.96,0.16,1,17,0.005385154,0.005385154,4.62,0.00448752670437693,3.9594614846,0.16
