unique_ID,pedon_ID,horizon,mg_IC_g_soil,mg_IC_g_soil_zero,pH,rep,percent_carbonate
1,2,a,-0.306660047,0,3.84,1,0
2,3,a,-0.190153555,0,3.38,1,0
3,4,a,-0.155175186,0,4.18,1,0
4,5,a,-0.254756314,0,5.47,1,0
5,6,a,-0.190649381,0,5.4,1,0
6,8,a,-0.156663306,0,5.4,1,0
7,9,a,-0.154463899,0,4.48,1,0
8,10,a,-0.17717877,0,5.28,1,0
9,11,a,-0.04102536,0,6.92,1,0
10,12,a,0.005938003,0.005938003,6.73,1,0.004948223770976713
11,13,a,34.58790555,34.58790555,7.26,1,28.82260187992619
12,14,a,11.52496555,11.52496555,6.93,1,9.603920458476981
13,15,a,-0.169055666,0,4.18,1,0
14,16,a,0.465301502,0.465301502,6.92,1,0.38774247046819754
15,17,a,-0.262828296,0,6.97,1,0
16,18,a,-0.199300515,0,4.3,1,0
17,19,a,0.005385154,0.005385154,4.62,1,0.00448752670437693
18,20,a,-0.147187202,0,4.98,1,0
19,21,a,-0.206174195,0,3.51,1,0
20,22,a,-0.744469921,0,3.58,1,0
21,23,a,-0.233710179,0,3.39,1,0
22,24,a,-0.134283854,0,4.67,1,0
23,25,a,-0.298039898,0,4.43,1,0
24,26,a,-0.035083301,0,5.14,1,0
25,27,a,-0.154744365,0,4.96,1,0
26,28,a,-0.16672062,0,4.07,1,0
27,29,a,-0.17389096,0,5.94,1,0
28,30,a,0.083309098,0.083309098,6.25,1,0.06942267611892897
29,31,a,2.066071367,2.066071367,7.31,1,1.721687148141177
30,32,a,-0.140644411,0,6.26,1,0
31,33,a,9.426743671,9.426743671,6.95,1,7.855441823748907
32,34,a,-0.028104334,0,5.07,1,0
33,35,a,4.134014443,4.134014443,7.11,1,3.444934018459346
34,36,a,-0.205023321,0,6.21,1,0
35,37,a,7.714516576,7.714516576,7.25,1,6.428618224503606
36,38,a,24.20741971,24.20741971,7.31,1,20.17239291442463
37,39,a,0.739248521,0.739248521,7.25,1,0.6160264830232618
38,40,a,-0.102359088,0,5.68,1,0
39,41,a,-0.279933051,0,6.19,1,0
40,42,a,-0.14941244,0,4.46,1,0
41,43,a,-0.026877087,0,4.2,1,0
42,44,a,-0.08638447,0,4.35,1,0
43,45,a,-0.080711466,0,5.22,1,0
44,46,a,-0.056697185,0,3.92,1,0
45,47,a,0.059812674,0.059812674,6.09,1,0.04984276621154972
46,48,a,-0.104986956,0,3.5,1,0
47,49,a,-0.233254311,0,2.9,1,0
48,50,a,-0.357313721,0,4.88,1,0
49,51,a,-0.045816795,0,4.65,1,0
