unique_ID,pedon_ID,horizon,rep,soil_weight_g,sand_pom_pan_weight_g,sand_and_POM_and_pan_weight_g,pan_SC1_weight_g,pan_SC2_weight_g,pan_and_SC1_weight_g,pan_and_SC2_weight_g,total_sc_pan_g,total_sc_and_pan_g,coarse_fraction_g,fine_fraction_g,recovery_percent,relative_coarse_fraction,relative_fine_fraction,fine_coarse_ratio
1,2,a,1,8.102,6.858,9.2,11.873,NA,17.794,NA,11.873,17.794,2.3419999999999996,5.921000000000001,101.98716366329303,0.2890644285361639,0.7308072080967664,2.528181041844578
2,3,a,1,9.086,6.813,11.393,11.885,NA,16.522,NA,11.885,16.522,4.580000000000001,4.636999999999999,101.4417785604226,0.5040721989874534,0.5103455866167729,1.0124454148471609
3,4,a,1,10.019,6.77,11.942,13.709,NA,18.597,NA,13.709,18.597,5.172000000000001,4.888000000000002,100.40922247729316,0.5162191835512526,0.48787304122167896,0.9450889404485695
4,5,a,1,10.01,13.901,15.611,13.966,NA,21.949,NA,13.966,21.949,1.7100000000000009,7.983000000000002,96.83316683316686,0.17082917082917093,0.7975024975024978,4.668421052631578
5,6,a,1,10.026,11.875,13.375,11.822,NA,19.92,NA,11.822,19.92,1.5,8.098000000000003,95.73109914223022,0.14961101137043686,0.8076999800518654,5.398666666666668
6,8,a,1,9.553,6.758,7.733,13.949,NA,22.64,NA,13.949,22.64,0.9749999999999996,8.691,101.1828744896891,0.10206217942007742,0.9097665654768136,8.913846153846157
7,9,a,1,9.641,6.813,7.312,11.963,NA,20.71,NA,11.963,20.71,0.49900000000000055,8.747000000000002,95.90291463541128,0.05175811637796915,0.9072710299761437,17.52905811623245
8,10,a,1,8.414,6.826,7.73,12.101,NA,19.591,NA,12.101,19.591,0.9040000000000008,7.49,99.76230092702642,0.10743998098407426,0.8901830282861898,8.28539823008849
9,11,a,1,9.025,6.637,8.14,13.897,NA,21.61,NA,13.897,21.61,1.503000000000001,7.712999999999999,102.11634349030471,0.16653739612188376,0.8546260387811633,5.131736526946104
10,12,a,1,10.021,6.792,9.327,13.674,NA,20.97,NA,13.674,20.97,2.535,7.295999999999999,98.103981638559,0.25296876559225623,0.7280710507933339,2.8781065088757396
11,13,a,1,10.027,6.888,13.825,13.965,NA,16.716,NA,13.965,16.716,6.936999999999999,2.7510000000000012,96.6191283534457,0.6918320534556697,0.27435923007878743,0.3965691220988902
12,14,a,1,7.592,6.664,12.427,11.6,NA,13.584,NA,11.6,13.584,5.763,1.984,102.04162276080085,0.7590885142255005,0.26132771338250793,0.3442651396841923
13,15,a,1,10.04,6.817,10.062,7.058,NA,13.647,NA,7.058,13.647,3.244999999999999,6.589,97.94820717131475,0.32320717131474097,0.6562749003984065,2.0305084745762723
14,16,a,1,10.033,6.901,10.175,14.066,NA,20.783,NA,14.066,20.783,3.274000000000001,6.7170000000000005,99.5813814412439,0.3263231336589257,0.6694906807535135,2.051618814905314
15,17,a,1,10.006,14.122,21.073,11.859,NA,14.99,NA,11.859,14.99,6.9510000000000005,3.1310000000000002,100.75954427343594,0.6946831900859485,0.312912252648411,0.4504387857862178
16,18,a,1,10.031,6.897,12.605,6.862,NA,10.852,NA,6.862,10.852,5.708,3.99,96.68029109759745,0.5690359884358489,0.39776692254012563,0.6990189208128942
17,19,a,1,10.014,13.949,19.078,13.635,NA,18.46,NA,13.635,18.46,5.129,4.825000000000001,99.40083882564412,0.51218294387857,0.4818254443778711,0.940729186976019
18,20,a,1,8.856,6.872,13.056,13.795,NA,16.531,NA,13.795,16.531,6.183999999999999,2.735999999999999,100.72267389340558,0.6982836495031616,0.3089430894308942,0.44243208279430785
19,21,a,1,5.524,6.844,11.441,13.657,NA,14.583,NA,13.657,14.583,4.597,0.9260000000000002,99.98189717595946,0.8321868211440986,0.16763215061549605,0.20143571894713946
20,22,a,1,6.469,6.967,10.344,11.838,NA,15.135,NA,11.838,15.135,3.377,3.2970000000000006,103.16895965373318,0.5220281341783892,0.5096614623589427,0.9763103346165237
21,23,a,1,7.076,6.841,11.787,13.943,NA,16.086,NA,13.943,16.086,4.946000000000001,2.142999999999999,100.18371961560204,0.6989824759751273,0.30285472018089304,0.4332794177112816
22,24,a,1,7.92,6.842,11.999,11.76,NA,14.502,NA,11.76,14.502,5.157000000000001,2.742000000000001,99.7348484848485,0.6511363636363637,0.3462121212121213,0.5317044793484584
23,25,a,1,9.42,6.867,12.555,11.843,NA,15.669,NA,11.843,15.669,5.688,3.8260000000000005,100.99787685774946,0.6038216560509554,0.40615711252653935,0.6726441631504925
24,26,a,1,10.024,6.858,10.44,6.9,NA,12.845,NA,6.9,12.845,3.582,5.945,95.0418994413408,0.35734237829209897,0.5930766161213089,1.6596873255164712
25,27,a,1,10.024,13.909,19.527,14.2,NA,18.096,NA,14.2,18.096,5.618,3.896000000000001,94.91221069433362,0.5604549082202714,0.38866719872306477,0.6934852260590959
26,28,a,1,7.795,6.778,12.834,11.821,NA,13.694,NA,11.821,13.694,6.056,1.873000000000001,101.71905067350868,0.7769082745349584,0.24028223220012843,0.3092800528401587
27,29,a,1,8.702,6.925,13.05,11.825,NA,14.592,NA,11.825,14.592,6.125000000000001,2.7670000000000012,102.18340611353716,0.7038611813376237,0.3179728797977478,0.4517551020408165
28,30,a,1,10.017,11.856,19.099,11.898,NA,14.813,NA,11.898,14.813,7.243,2.915000000000001,101.40760706798444,0.7230707796745534,0.2910052910052911,0.40245754521607074
29,31,a,1,9.971,6.765,14.379,11.704,NA,14.172,NA,11.704,14.172,7.614,2.468,101.11322836225054,0.7636144819977936,0.24751780162471165,0.3241397425794589
30,32,a,1,10.014,6.935,10.441,6.75,NA,13.066,NA,6.75,13.066,3.506000000000001,6.316000000000001,98.08268424206115,0.3501098462152987,0.6307169962053126,1.801483171705647
31,33,a,1,10.032,6.932,12.117,11.773,NA,16.553,NA,11.773,16.553,5.1850000000000005,4.780000000000001,99.33213716108455,0.5168460925039873,0.47647527910685816,0.921890067502411
32,34,a,1,10.007,12.01,16.91,11.921,NA,16.977,NA,11.921,16.977,4.9,5.056000000000001,99.49035675027483,0.48965723993204763,0.5052463275707006,1.0318367346938777
33,35,a,1,10.027,6.57,14.205,13.917,NA,16.362,NA,13.917,16.362,7.635,2.4449999999999985,100.52857285329608,0.7614441009274958,0.2438416276054651,0.32023575638506857
34,36,a,1,10.01,11.729,21.237,11.73,NA,12.299,NA,11.73,12.299,9.508,0.5689999999999991,100.66933066933066,0.9498501498501498,0.05684315684315675,0.05984434160706764
