"","Solenns_id","unique_ID","Ca_ppm","Mg_ppm","K_ppm","Na_ppm","Fe_ppm","Mn_ppm","Al_ppm","soil_weight_g","toc_dilution","npoc_ppm","rep","pedon_ID","horizon","mean_DOC_wet","mean_DN_wet","mean_MBC_wet","mean_MBN_wet"
"1",1,1,2.399,0.7062,0.6367,0.3745,20.31,0.6127,15.85,0.5103,4,45.1,1,2,"a",0.0468107820376286,0.000875942004423365,0.244509889212782,0.0341507136762444
"2",3,72,2.326,1.414,0.6754,0.3457,16.93,0.2943,13.8,0.5003,2,15,1,2,"c",0.0343790982445247,0.000346670927403422,0.0541845507601699,0.00195212808231001
"3",4,2,2.477,1.123,0.9862,0.5344,18.37,0.2525,11.62,0.5099,4,46.3,1,3,"a",0.0668462998783272,0.0245668989772819,0.394205893830128,0.0617769329321963
"4",6,73,1.836,1.925,0.5038,0.3212,12.37,0.9042,12.4,0.5055,2,20.5,1,3,"c",0.0346671217777665,0.000946694143414006,0.0603114431408744,0.00341785339371126
"5",7,3,2.107,0.6706,0.5207,0.2773,7.084,3.405,6.126,0.4922,2,22.9,1,4,"a",0.022483606217795,0.00599685203808761,0.0934088265524192,0.016975365152177
"6",9,74,5.021,1.632,0.7336,0.2316,8.923,1.96,7.554,0.5046,2,7.1,1,4,"c",0.0188774575726352,0.00269476128461639,0.0310147220720864,0.00406779178497389
"7",10,4,14.45,4.077,1.64,0.2482,15.27,3.384,12.89,0.4932,2,37.4,1,5,"a",0.022504325740943,0.017352482842733,0.127078191286914,0.0396309959135413
"8",12,75,190.4,144.1,0.7245,0.3237,6.57,1.949,5.738,0.495,2,3.6,1,5,"c",0.0141811729285538,0.00111482160516369,0.0300171353403777,0.00309057481786495
"9",13,5,28.1,9.459,2.14,1.526,25.6,8.284,12.49,0.5115,2,26.1,1,6,"a",0.0144198930569245,0.00920859563300464,0.0699440875598859,0.0222969235075188
"10",15,76,13.58,6.875,0.6311,0.3367,19.89,3.009,10.56,0.4989,5,4.2,1,6,"c",0.0101858515280209,0.00172677258626315,0.0210444427494758,0.00394753147301824
"11",17,136,0.3795,0.0769,0.3141,0.2387,3.516,0.0246,1.887,0.4931,2,23.9,1,7,"e",0.0295836268744012,0.00207796614255745,NA,NA
"12",19,77,0.2364,0.0716,0.2863,0.2582,3.375,0.0073,4.383,0.5044,5,8,1,7,"c",0.0170902181837821,NA,0.0218559152463188,0.00174814833304432
"13",20,6,13.91,6.185,0.9019,0.5012,38.3,5.676,14.02,0.4956,2,24.1,1,8,"a",0.0127504280757809,0.0046262954735896,0.0639940646547917,0.012262153687012
"14",22,78,4.362,2.693,0.5625,0.3066,16.89,0.6157,5.337,0.4997,2,6.7,1,8,"c",0.00924672035063744,0.00140242110337717,0.0147205873026979,0.00236988887364053
"15",23,7,5.588,2.463,0.7404,0.3244,13.16,4.257,8.025,0.4916,2,17.1,1,9,"a",0.0168054429528455,0.00160430169008065,0.0918360926481432,0.0105836042426348
"16",25,79,9.4,4.218,0.8644,0.2794,11.95,1.142,8.057,0.5045,2,5,1,9,"c",0.0187431329304077,NA,0.0201539381254827,0.00191760032394919
"17",26,8,20.4,4.781,1.978,0.3447,12.09,3.854,11.57,0.5108,2,26.7,1,10,"a",0.0158642954021721,0.00675683997373229,0.0895222048174426,0.0214195358214163
"18",28,9,49.37,10.85,7.899,0.8815,15.59,0,7.578,0.5099,2,23.5,1,11,"a",0.0252814398385853,0.00713342830834271,0.41140435997086,0.0581784481879172
"19",30,80,72.99,16.69,6.827,7.325,19.2,44.95,5.941,0.5091,2,6.4,1,11,"c",0.00996705425482857,NA,0.0335244804242348,0.00406915731837375
"20",31,10,38.12,3.017,4.719,0.321,3.371,2.102,7.461,0.4991,2,26.3,1,12,"a",0.023771075143038,0.0119665962398913,0.284862649110505,0.0669203641491764
"21",33,81,146.8,4.841,1.894,1.339,5.685,2.707,9.228,0.504,2,8.2,1,12,"c",0.0152798403463262,0.00276278199244862,0.0566924401167073,0.00675882727640423
"22",34,11,NA,NA,NA,NA,NA,NA,NA,0.496,5,12.2,1,13,"a",0.0496585697095821,0.0121468315173311,0.127594041043427,0.037171740610977
"23",36,12,362.4,72.73,0.9383,0.596,0.2991,1.738,0.1779,0.5159,2,32.9,1,14,"a",NA,NA,0.134859990242596,0.0360633891089062
"24",38,82,450.9,20.23,0.6523,0.2351,0.4551,1.922,0.0739,0.503,2,14,1,14,"c",0.0183438293962068,0.00715244714298857,0.0429459239158098,0.012780318624923
"25",39,13,6.704,3.219,2.343,1.386,9.472,0.5294,6.786,0.5164,2,14.6,1,15,"a",0.0145654006933192,0.00243766620904106,0.10258901812243,0.0107819872112075
"26",41,83,46.94,18.78,4.319,0.436,3.627,1.62,7.916,0.5017,NA,NA,1,15,"c",0.0684833933351641,0.00459927455589453,0.0846584004208273,0.00547800027651492
"27",42,14,57.6,20.51,4.883,0.416,3.302,1.943,8.062,0.51,2,17.2,1,16,"a",0.0318092173065677,0.00252738458545599,0.239154192550742,0.0245524047092752
"28",43,84,108,27.46,3.215,0.4041,4.257,1.465,9.528,0.496,2,10.7,1,16,"c",0.020400150106233,0.000517860435376935,0.0634087114080468,0.00506448843510699
"29",44,15,28.03,13.1,5.205,0.807,14.31,1.001,16.85,0.5079,2,20,1,17,"a",0.0204059888313531,0.00328660306788947,0.297626869465846,0.0425481604358372
"30",46,85,48.62,19.79,3.189,2.9,14.29,0.9485,16.69,0.495,2,7.5,1,17,"c",0.0221550773796718,0.00204595622570107,0.08837753226672,0.00804597928867573
"31",47,16,11.32,2.736,1.577,0.3883,20.5,3.688,12.86,0.5017,4,24.3,1,18,"a",0.0264337976065505,0.00183138877653133,0.122048778644321,0.0142260672676437
"32",49,86,5.864,1.727,0.9513,0.306,15.94,1.481,8.719,0.5087,2,25.7,1,18,"c",0.021698162179157,6.61813203088632e-05,0.0448539863838304,0.00204188875774868
"33",50,17,5.329,1.568,1.802,0.2821,27.44,3.329,31.62,0.4983,10,18.3,1,19,"a",0.0336660190948177,0.000126142219066623,NA,NA
"34",52,87,0.9981,2.369,0.4639,0.0921,9.919,0.4423,24.48,0.493,4,15.2,1,19,"c",0.0273424996698006,0,0.0383385701066688,0.000511671868696705
"35",53,18,22.16,6.487,1.211,0.4457,13.52,1.635,10.8,0.4941,4,35.4,1,20,"a",0.0372043196956312,0.00131316132704377,0.255099347342844,0.035766812160027
"36",55,88,7.713,5.167,0.8395,0.5093,16.96,0.6726,12.02,0.5162,12,11.7,1,20,"c",NA,NA,0.119330226645352,0.010039501365982
"37",56,19,0.7349,3.211,0.9776,0.5823,57.28,0.4331,52.9,0.4931,12,49.2,1,21,"a",0.136407377896666,0.00513485475651911,0.586060962068733,0.0609225603737329
"38",58,89,0.2899,4.527,0.2801,0.1306,65.9,3.362,67.16,0.497,4,22.9,1,21,"c",0.0266118523962338,0.00157741863061178,0.0368814481698083,0.00329189172649558
"39",59,20,2.143,1.578,1.221,0.6702,43.24,2.324,49.24,0.4996,12,49.5,1,22,"a",0.126413614925228,0.0120216294620857,0.463984698533866,0.0440181630887706
"40",61,90,0.5802,0.8563,0.5895,0.3441,51.55,1.837,54.17,0.4989,10,35.1,1,22,"c",0.059138520971608,0.00345396321381091,NA,0.0120717114222481
"41",62,21,4.572,3.376,0.9649,0.3833,41.03,1.17,33.58,0.5079,10,39.3,1,23,"a",0.0913642524351819,0.0101007033144581,0.415296882865123,0.0379833070416326
"42",64,91,1.187,5.608,0.666,0.3837,61.56,3.491,95.56,0.5061,12,24.9,1,23,"c",0.0376381487798919,0.00357093451249278,0.083598293766708,0.00860815751589851
"43",65,22,22.17,21.75,2.042,0.4955,60.13,18.42,82.45,0.5027,12,26.3,1,24,"a",0.0368927294277292,0.00253496527338588,0.376074538780851,0.0417907361182012
"44",67,92,11.08,17.57,0.9747,0.5041,49.77,14.61,88.17,0.5152,4,59.8,1,24,"c",0.0350028988531953,0.00276600725243276,0.225744750410553,0.0225194940210578
"45",68,23,6.065,2.547,2.601,0.3236,20.63,7.918,47.63,0.5068,4,36.5,1,25,"a",0.039624464075563,0.00207096464178275,0.174795064819249,0.017695073829169
"46",70,93,1.156,2.483,0.8744,0.3039,24.34,3.247,42.96,0.4939,2,17.9,1,25,"c",0.033631499570509,0.0014333541868907,0.0799252448090646,0.00536233457624316
"47",71,24,22.33,5.052,3.937,0.6921,19.96,3.337,20.36,0.5095,2,20.8,1,26,"a",0.0291213425319337,0.00320807532360013,0.155468666076589,0.011624858294494
"48",73,25,7.49,5.672,1.394,0.2819,14.93,3.44,10.7,0.5162,2,14.6,1,27,"a",0.0189529503618813,0.0017483590219691,0.0765474297289742,0.00880393130039432
"49",75,94,6.436,4.851,1.31,0.3503,14.72,2.704,11.95,0.5089,2,10,1,27,"c",0.0149687557804342,0.00117782325895665,0.0411494534715643,0.00407415233658639
"50",76,26,3.131,4.937,0.8507,0.6194,28.45,0.3003,26.84,0.4924,12,15.7,1,28,"a",0.0416824342028572,0.00469159728515561,0.183860732778474,0.0290571419929997
"51",78,95,2.375,3.815,0.6764,0.6134,41.32,0.475,21.93,0.5007,4,28,1,28,"c",0.0310490204355236,0.00202120835814416,0.0453290627948566,0.00316609775066279
"52",79,27,42.19,14.88,2.029,0.5796,31.48,2.023,15.89,0.5046,4,29.7,1,29,"a",0.0816242833297561,0.0185461547953253,0.338917985602629,0.0492636054976219
