unique_ID,pedon_ID,horizon,soil_weight_mg,delta13C_vs_VPDB,delta15N_vs_at_air_air,percent_C,percent_N,rep
1,2,a,5.084,-26.33,3.56,3.7,0.29,1
2,3,a,5.171,-26.88,1.93,9.41,0.55,1
3,4,a,4.993,-25.19,3,0.97,0.12,1
4,5,a,5.073,-23.11,6.91,3.45,0.34,1
5,6,a,5.122,-24.64,7.64,2.33,0.27,1
6,8,a,4.994,-23.54,6.09,1.3,0.15,1
7,9,a,5.072,-23.35,3.44,0.89,0.11,1
8,10,a,5.006,-18.83,6.93,3.84,0.36,1
9,11,a,5.107,-23.3,1.18,3.77,0.37,1
10,12,a,5.142,-25.64,1.1,3.56,0.36,1
11,13,a,5.369,-11.77,0.55,11.27,0.3,1
12,14,a,5.077,-15.9,0.09,7.27,0.3,1
13,15,a,5.448,-24.45,2.95,0.99,0.13,1
14,16,a,5.084,-21.37,4.44,1.47,0.15,1
15,17,a,5.027,-25.98,3.04,1.66,0.2,1
16,18,a,5.567,-25.37,4.39,4.78,0.31,1
17,19,a,5.059,-26.27,1.84,3.96,0.16,1
18,20,a,5.013,-26.82,1.96,7.41,0.34,1
19,21,a,5.012,-26.96,2.77,13.95,0.57,1
20,22,a,5.293,-27.12,1.73,14.69,0.65,1
21,23,a,5.098,-27.13,2.35,22.51,1.02,1
22,24,a,5.022,-26.87,1.08,14.44,0.6,1
23,25,a,4.843,-26.52,5.05,5.77,0.26,1
24,26,a,5.044,-24.38,4.67,3.19,0.2,1
25,27,a,5.168,-24.56,6.28,0.72,0.06,1
26,28,a,5.078,-26.58,5.21,4.63,0.27,1
27,29,a,5,-26.76,7.26,7.09,0.57,1
28,30,a,4.921,-22.81,11.96,0.17,0.04,1
29,31,a,5.044,-14.74,9.07,0.62,0.08,1
30,32,a,4.947,-18.78,3.6,2.96,0.27,1
31,33,a,4.957,-14.23,5.97,2.68,0.17,1
32,34,a,4.996,-24.8,2.68,3.88,0.18,1
33,35,a,4.892,-11.1,8,0.73,0.04,1
34,36,a,10.218,-21.79,0.6,0.16,0.02,1
35,37,a,9.994,-14.02,8.93,2.64,0.18,1
36,38,a,10.138,-6.84,1.8,4.93,0.17,1
37,39,a,10.097,-14.14,3.97,0.44,0.05,1
38,40,a,5.034,-15.35,8.72,1.88,0.19,1
39,41,a,5.116,-19.24,2.18,4.04,0.36,1
40,42,a,5.145,-28.56,-0.6,4.52,0.28,1
41,43,a,5.012,-16.36,8.17,1.06,0.13,1
42,44,a,5.067,-27.35,1.72,4.29,0.27,1
43,45,a,5.006,-25.57,2.48,5.71,0.33,1
44,46,a,4.932,-28.53,0.59,4.47,0.26,1
45,47,a,5.017,-27.62,2.57,3.64,0.24,1
46,48,a,5.019,-28.37,2.73,6.02,0.26,1
47,49,a,5.014,-28.86,0.05,12.62,0.5,1
48,50,a,4.984,-26.44,4.28,3.32,0.29,1
49,51,a,4.927,-26.9,3.46,4.07,0.38,1
50,52,a,4.781,-27.81,3.21,2.54,0.17,1
51,53,a,5.115,-26.8,6.7,7.54,0.41,1
52,54,a,4.934,-26.98,3.44,3.5,0.19,1
53,55,a,5.262,-27.4,4.66,4.74,0.3,1
54,56,a,5.115,-28.54,1.61,8.67,0.6,1
55,57,a,4.894,-28.14,0.17,23.58,0.89,1
56,58,a,5.079,-27.39,2.48,4.7,0.37,1
57,59,a,4.883,-27.78,2.19,3.23,0.32,1
58,60,a,5.037,-26.02,3.84,4.71,0.32,1
59,61,a,4.871,-29.64,1.32,4.78,0.32,1
60,62,a,4.871,-26.93,4.15,5.01,0.27,1
61,63,a,4.825,-25.97,6.89,7.56,0.48,1
62,64,a,4.905,-27.01,-1.5,9.52,0.4,1
63,65,a,5.271,-24.96,4.79,4.48,0.33,1
64,66,a,5.487,-26.22,4.12,1.17,0.13,1
