="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="12/23/2019 1:02:59 PM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 1:55:48 PM"	="1"	="1"	="NPOC"	="7.347"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 1:59:47 PM"	="1"	="2"	="NPOC"	="7.913"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:03:29 PM"	="1"	="3"	="NPOC"	="7.991"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:07:15 PM"	="1"	="4"	="NPOC"	="8.066"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:16:40 PM"	="2"	="1"	="NPOC"	="22.31"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:20:36 PM"	="2"	="2"	="NPOC"	="22.56"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:24:34 PM"	="2"	="3"	="NPOC"	="24.14"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:28:33 PM"	="2"	="4"	="NPOC"	="23.69"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:32:34 PM"	="2"	="5"	="NPOC"	="23.08"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:41:59 PM"	="3"	="1"	="NPOC"	="46.52"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:46:02 PM"	="3"	="2"	="NPOC"	="45.60"	="10.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:50:05 PM"	="3"	="3"	="NPOC"	="48.05"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 2:54:15 PM"	="3"	="4"	="NPOC"	="47.44"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:04:00 PM"	="4"	="1"	="NPOC"	="92.91"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:08:26 PM"	="4"	="2"	="NPOC"	="93.22"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:12:42 PM"	="4"	="3"	="NPOC"	="95.67"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:22:31 PM"	="5"	="1"	="NPOC"	="233.6"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:26:53 PM"	="5"	="2"	="NPOC"	="234.3"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:31:13 PM"	="5"	="3"	="NPOC"	="243.2"	="50.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:35:43 PM"	="5"	="4"	="NPOC"	="242.7"	="50.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:40:13 PM"	="5"	="5"	="NPOC"	="231.0"	="50.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:49:16 PM"	="6"	="1"	="NPOC"	="480.0"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:53:45 PM"	="6"	="2"	="NPOC"	="470.3"	="100.0"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 3:58:08 PM"	="6"	="3"	="NPOC"	="491.6"	="100.0"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	=""	1.00	=""	="12/23/2019 4:02:39 PM"	="6"	="4"	="NPOC"	="482.9"	="100.0"	=" "	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:12:23 PM"	="1"	="1"	="NPOC"	="1.912"	="0.9517"	="NPOC:0.7141mg/L"	1	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:15:10 PM"	="1"	="2"	="NPOC"	="0.7725"	="0.7165"	="NPOC:0.7141mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:18:10 PM"	="1"	="3"	="NPOC"	="0.9716"	="0.7576"	="NPOC:0.7141mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:20:52 PM"	="1"	="4"	="NPOC"	="0.5384"	="0.6682"	="NPOC:0.7141mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:22:55 PM"	="1"	="5"	="NPOC"	="0.000"	="0.5570"	="NPOC:0.7141mg/L"	1	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:31:25 PM"	="1"	="1"	="NPOC"	="0.000"	="0.5570"	="NPOC:0.5570mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:33:28 PM"	="1"	="2"	="NPOC"	="0.000"	="0.5570"	="NPOC:0.5570mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:35:31 PM"	="1"	="3"	="NPOC"	="0.000"	="0.5570"	="NPOC:0.5570mg/L"	0	="80"	
="Unknown"	="NPOC"	="HH"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:45:25 PM"	="1"	="1"	="NPOC"	="6.160"	="1.829"	="NPOC:1.805mg/L"	0	="80"	
="Unknown"	="NPOC"	="HH"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_12_23_13_45_42.cal"	1.00	=""	="12/23/2019 4:48:51 PM"	="1"	="2"	="NPOC"	="6.014"	="1.798"	="NPOC:1.805mg/L"	0	="80"	
