="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="1/27/2020 10:07:22 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Unknown"	="NPOC"	="25ppm"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 10:49:29 AM"	="1"	="1"	="NPOC"	="0.000"	="0.000"	="NPOC:0.000mg/L"	1	="80"	
="Unknown"	="NPOC"	="25ppm"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 10:54:33 AM"	="1"	="2"	="NPOC"	="0.000"	="0.000"	="NPOC:0.000mg/L"	1	="80"	
="Unknown"	="NPOC"	="25ppm"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 10:58:44 AM"	="1"	="3"	="NPOC"	="5.206"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="25ppm"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:02:18 AM"	="1"	="4"	="NPOC"	="7.131"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="25ppm"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:05:50 AM"	="1"	="5"	="NPOC"	="6.074"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:14:44 AM"	="1"	="1"	="NPOC"	="0.000"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:16:47 AM"	="1"	="2"	="NPOC"	="0.000"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="DI"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:18:51 AM"	="1"	="3"	="NPOC"	="0.000"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="HH"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:30:27 AM"	="1"	="1"	="NPOC"	="19.35"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="HH"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:35:30 AM"	="1"	="2"	="NPOC"	="21.27"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="HH"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:40:25 AM"	="1"	="3"	="NPOC"	="20.04"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="HH"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:45:20 AM"	="1"	="4"	="NPOC"	="26.84"	="0.000"	="NPOC:0.000mg/L"	1	="80"	
="Unknown"	="NPOC"	="HH"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 11:49:49 AM"	="1"	="5"	="NPOC"	="23.21"	="0.000"	="NPOC:0.000mg/L"	1	="80"	
="Unknown"	="NPOC"	="54a"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:00:33 PM"	="1"	="1"	="NPOC"	="68.65"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="54a"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:04:47 PM"	="1"	="2"	="NPOC"	="65.94"	="0.000"	="NPOC:0.000mg/L"	1	="80"	
="Unknown"	="NPOC"	="54a"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:08:58 PM"	="1"	="3"	="NPOC"	="69.27"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="54a"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:13:01 PM"	="1"	="4"	="NPOC"	="68.99"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="6c"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:22:46 PM"	="1"	="1"	="NPOC"	="18.00"	="0.000"	="NPOC:0.000mg/L"	1	="80"	
="Unknown"	="NPOC"	="6c"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:26:09 PM"	="1"	="2"	="NPOC"	="16.80"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="6c"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:29:32 PM"	="1"	="3"	="NPOC"	="17.83"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
="Unknown"	="NPOC"	="6c"	="Untitled"	="C:\TOC3201\Methods\Itamar\acid_sample_NPOC only.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2020_01_27_10_25_49.cal"	1.00	=""	="1/27/2020 12:32:41 PM"	="1"	="4"	="NPOC"	="16.86"	="0.000"	="NPOC:0.000mg/L"	0	="80"	
