Solenns_id,unique_ID,Ca_ppm,Mg_ppm,K_ppm,Na_ppm,Fe_ppm,Mn_ppm,Al_ppm,soil_weight_g,toc_dilution,npoc_ppm,rep
1,1,2.399,0.7062,0.6367,0.3745,20.31,0.6127,15.85,0.5103,4,45.1,1
3,72,2.326,1.414,0.6754,0.3457,16.93,0.2943,13.8,0.5003,2,15,1
4,2,2.477,1.123,0.9862,0.5344,18.37,0.2525,11.62,0.5099,4,46.3,1
6,73,1.836,1.925,0.5038,0.3212,12.37,0.9042,12.4,0.5055,2,20.5,1
7,3,2.107,0.6706,0.5207,0.2773,7.084,3.405,6.126,0.4922,2,22.9,1
9,74,5.021,1.632,0.7336,0.2316,8.923,1.96,7.554,0.5046,2,7.1,1
10,4,14.45,4.077,1.64,0.2482,15.27,3.384,12.89,0.4932,2,37.4,1
12,75,190.4,144.1,0.7245,0.3237,6.57,1.949,5.738,0.495,2,3.6,1
13,5,28.1,9.459,2.14,1.526,25.6,8.284,12.49,0.5115,2,26.1,1
15,76,13.58,6.875,0.6311,0.3367,19.89,3.009,10.56,0.4989,5,4.2,1
17,136,0.3795,0.0769,0.3141,0.2387,3.516,0.0246,1.887,0.4931,2,23.9,1
19,77,0.2364,0.0716,0.2863,0.2582,3.375,0.0073,4.383,0.5044,5,8,1
20,6,13.91,6.185,0.9019,0.5012,38.3,5.676,14.02,0.4956,2,24.1,1
22,78,4.362,2.693,0.5625,0.3066,16.89,0.6157,5.337,0.4997,2,6.7,1
23,7,5.588,2.463,0.7404,0.3244,13.16,4.257,8.025,0.4916,2,17.1,1
25,79,9.4,4.218,0.8644,0.2794,11.95,1.142,8.057,0.5045,2,5,1
26,8,20.4,4.781,1.978,0.3447,12.09,3.854,11.57,0.5108,2,26.7,1
28,9,49.37,10.85,7.899,0.8815,15.59,0,7.578,0.5099,2,23.5,1
30,80,72.99,16.69,6.827,7.325,19.2,44.95,5.941,0.5091,2,6.4,1
31,10,38.12,3.017,4.719,0.321,3.371,2.102,7.461,0.4991,2,26.3,1
33,81,146.8,4.841,1.894,1.339,5.685,2.707,9.228,0.504,2,8.2,1
34,11,,,,,,,,0.496,5,12.2,1
36,12,362.4,72.73,0.9383,0.596,0.2991,1.738,0.1779,0.5159,2,32.9,1
38,82,450.9,20.23,0.6523,0.2351,0.4551,1.922,0.0739,0.503,2,14,1
39,13,6.704,3.219,2.343,1.386,9.472,0.5294,6.786,0.5164,2,14.6,1
41,83,46.94,18.78,4.319,0.436,3.627,1.62,7.916,0.5017,,,1
42,14,57.6,20.51,4.883,0.416,3.302,1.943,8.062,0.51,2,17.2,1
43,84,108,27.46,3.215,0.4041,4.257,1.465,9.528,0.496,2,10.7,1
44,15,28.03,13.1,5.205,0.807,14.31,1.001,16.85,0.5079,2,20,1
46,85,48.62,19.79,3.189,2.9,14.29,0.9485,16.69,0.495,2,7.5,1
47,16,11.32,2.736,1.577,0.3883,20.5,3.688,12.86,0.5017,4,24.3,1
49,86,5.864,1.727,0.9513,0.306,15.94,1.481,8.719,0.5087,2,25.7,1
50,17,5.329,1.568,1.802,0.2821,27.44,3.329,31.62,0.4983,10,18.3,1
52,87,0.9981,2.369,0.4639,0.0921,9.919,0.4423,24.48,0.493,4,15.2,1
53,18,22.16,6.487,1.211,0.4457,13.52,1.635,10.8,0.4941,4,35.4,1
55,88,7.713,5.167,0.8395,0.5093,16.96,0.6726,12.02,0.5162,12,11.7,1
56,19,0.7349,3.211,0.9776,0.5823,57.28,0.4331,52.9,0.4931,12,49.2,1
58,89,0.2899,4.527,0.2801,0.1306,65.9,3.362,67.16,0.497,4,22.9,1
59,20,2.143,1.578,1.221,0.6702,43.24,2.324,49.24,0.4996,12,49.5,1
61,90,0.5802,0.8563,0.5895,0.3441,51.55,1.837,54.17,0.4989,10,35.1,1
62,21,4.572,3.376,0.9649,0.3833,41.03,1.17,33.58,0.5079,10,39.3,1
64,91,1.187,5.608,0.666,0.3837,61.56,3.491,95.56,0.5061,12,24.9,1
65,22,22.17,21.75,2.042,0.4955,60.13,18.42,82.45,0.5027,12,26.3,1
67,92,11.08,17.57,0.9747,0.5041,49.77,14.61,88.17,0.5152,4,59.8,1
68,23,6.065,2.547,2.601,0.3236,20.63,7.918,47.63,0.5068,4,36.5,1
70,93,1.156,2.483,0.8744,0.3039,24.34,3.247,42.96,0.4939,2,17.9,1
71,24,22.33,5.052,3.937,0.6921,19.96,3.337,20.36,0.5095,2,20.8,1
73,25,7.49,5.672,1.394,0.2819,14.93,3.44,10.7,0.5162,2,14.6,1
75,94,6.436,4.851,1.31,0.3503,14.72,2.704,11.95,0.5089,2,10,1
76,26,3.131,4.937,0.8507,0.6194,28.45,0.3003,26.84,0.4924,12,15.7,1
78,95,2.375,3.815,0.6764,0.6134,41.32,0.475,21.93,0.5007,4,28,1
79,27,42.19,14.88,2.029,0.5796,31.48,2.023,15.89,0.5046,4,29.7,1
81,96,28.26,15.71,1.164,0.6799,33.34,1.08,18.66,0.5091,2,6.7,1
82,28,12.42,1.754,1.48,0.3475,3.903,1.168,5.178,0.4945,2,5.1,1
