Unique_ID,NPOC,se,TDN,se,MBC,se,MBN,se
1,9.4031227,0.17309141,0.17598688,0.035366789,39.6427266,1.32469817,6.674152552,0.232266363
2,9.850048,0.078228277,0.591356163,0.011753203,4.7464298,0.08459488,0.623734654,0.036673058
3,7.0826419,0.148719173,0.071273287,0.025261865,4.1290468,0.40115593,0.332653788,0.030091892
4,13.4417369,0.279358983,4.939880481,0.073591548,65.6229332,2.3872003,7.450282838,0.279822749
5,11.274502,0.168372937,1.175595238,0.02028684,13.5025378,0.10371467,1.957270408,0.040867365
6,7.1506155,0.047268746,0.195845253,0.034106832,5.4411723,0.23134616,0.517540695,0.045647093
7,4.5138906,0.05644447,1.20397534,0.023731813,14.2638871,0.17805108,2.208333333,0.073698973
8,3.3838109,0.013958535,0.37002551,0.018330523,1.3947427,0.06664292,0.191634779,0.028228771
9,3.7873094,0.101178849,0.540614371,0.01279652,2.4214644,0.07878086,0.27371386,0.018562767
10,4.5225809,0.055059112,3.487225193,0.01200669,21.0280717,0.68678033,4.480491186,0.098687118
11,3.2857166,0.098404416,0.348980895,0.017182339,4.4438474,0.13074087,0.463673732,0.00730153
12,2.8434216,0.183569434,0.223546179,0.004323321,3.1888411,0.23138524,0.397558439,0.033928719
13,2.8971584,0.048691082,1.850097949,0.053307824,11.1336162,0.44750325,2.62260081,0.152773286
14,3.0611019,0.864359331,0.441764185,0.017937517,3.3329549,0.87139388,0.608239404,0.018544272
15,2.0414875,0.030253385,0.346076531,0.015833714,2.1794481,0.2061279,0.445652954,0.007333168
16,3.4309677,0.074534503,0.360829923,0.096000054,1.0033065,0.12644967,-0.006269892,0.104464435
17,6.0555368,0.092392922,0.426256039,0.082899934,7.9545561,2.07157536,0.747232951,0.216474311
18,17.2142516,0.485811583,2.315433029,0.054932856,68.4448039,9.77753453,13.1774236,1.333326156
19,2.5573537,0.072975992,0.927840509,0.006885795,10.280878,1.07576484,1.53209742,0.168333073
20,2.1700938,0.034116838,0.352669491,0.002518065,2.8124275,0.43424822,0.506150238,0.058061145
21,1.8570395,0.043533142,0.281618685,0.012775099,1.1030222,0.07075602,0.194964941,0.028852139
22,3.3702584,0.050530475,0.322002058,0.161023744,15.0492203,0.71287363,1.800791224,0.017177783
23,7.0865795,2.287953033,0.576530978,0.137380519,1.0998056,2.40448799,0.579701821,0.144622152
24,3.7585442,0.131112553,0.412508675,0.040323679,0.2797914,0.13509494,-0.028274344,0.046727641
25,3.1796209,0.038887259,1.354164466,0.042889751,14.7417879,3.22635203,2.933780155,0.343397455
26,3.8795729,0.048086825,0.550748291,0.035426133,6.7107657,0.03672524,0.727724184,0.030348393
27,5.0896889,0.275426827,1.435976268,0.027175118,77.2711277,3.12647919,10.21073355,0.184738565
28,2.6564911,0.035773695,1.120551594,0.217006132,19.644235,0.50973139,2.761603288,0.223630902
29,1.9996481,0.016271157,0.204787846,0.040233079,4.7164356,0.34080382,0.610368573,0.124266119
30,4.7664632,0.104119575,2.399545474,0.129881244,52.3993239,10.35735853,11.03352263,1.643129617
31,3.6816761,0.007216694,0.379783186,0.05265593,17.144144,0.79654621,0.539363537,0.084415888
32,3.0636505,0.045995418,0.553957563,0.010038721,8.3140432,0.33169983,0.802407995,0.048619057
33,9.9898561,0.36756448,2.44390507,0.061489462,15.5859371,0.82350461,5.007191658,0.189387819
34,11.8393953,0.11870272,0.802366765,0.03208558,14.7123934,0.79796643,3.550382251,0.133520337
35,7.9320209,2.917767663,0.641061017,0.101878753,19.0903452,2.74146728,6.58508701,0.133147209
36,3.0696212,0.13846543,1.171717172,0.063278463,2.2401804,0.44066698,0.537730243,0.094370551
37,3.6811641,0.064938207,1.435432759,0.053672625,4.9561838,0.3328012,1.134878194,0.122330149
38,2.9194339,0.035470197,0.488585138,0.005073658,17.7037404,0.10907959,1.678882726,0.035621437
39,2.5012286,0.027248486,0.23852736,0.013820049,6.8599583,0.1229177,0.541303486,0.040206893
40,13.7398153,0.158196942,0.922756981,0.011586453,3.2565862,0.89616237,0.177064765,0.071108706
41,6.5451814,0.169036491,0.519826459,0.032655666,42.4842254,1.8536834,4.51395338,0.125488056
42,4.0838326,0.033133948,0.103669435,0.011825974,8.6603099,0.33111454,0.914175497,0.023175538
43,4.0917072,0.021709391,0.658971088,0.023655015,55.5976556,1.84212801,7.873448129,0.02733797
44,3.8217177,0.461593568,0.145989691,0.17979226,15.9464997,1.88919661,1.358898035,0.117957675
45,4.4415766,0.445516932,0.410112181,0.158155335,13.243721,1.80171542,1.199943313,0.198294607
46,5.4815112,0.07507237,0.379866406,0.027332159,19.590705,0.23899156,2.542160067,0.093970103
47,6.3869217,1.702212654,0.278710504,0.124946592,5.8568932,1.60192301,0.924329343,0.043095407
48,4.4919088,0.076988733,0.005815378,0.01463979,4.7947196,0.09981987,0.41695206,0.02774164
49,6.7570716,0.160190495,0.022346346,0.019143295,29.2753073,2.42982435,2.822557089,0.641522923
50,7.7615101,0.077017529,0.420822704,0.018645286,4.6527689,0.47219827,0.27271471,0.015445191
51,5.6235526,0.185372378,-0.072686852,0.025683377,2.2869612,0.06154602,0.178132734,0.016115677
52,7.6498701,0.286246408,0.27023864,0.052352513,44.4711651,1.05249461,7.040727222,0.263310107
53,5.0015894,0.204496694,0.440454932,0.033659286,22.8454454,0.69558257,3.54360119,0.035422499
54,7.6763564,1.485843415,0.085555013,0.042829249,16.5869734,1.91763868,1.95567911,0.051130783
55,27.4240888,0.012836732,1.032228233,0.076823739,90.1514051,2.23194461,11.18944537,0.17035524
56,9.4336937,0.206983096,0.632101903,0.03192253,13.9146533,0.80078415,2.227065416,0.095348479
57,5.3345555,0.285763596,0.316119505,0.027984674,2.0813334,0.40041538,0.345935017,0.003647634
58,25.3089519,0.650786737,2.406832069,0.143998199,67.6689262,2.99856986,6.414004939,0.212454127
59,18.6897261,0.252672786,1.301093143,0.037625998,39.762233,0.2090322,3.897153488,0.073326997
60,11.8475937,0.271604528,0.691967656,0.010744184,17.4507074,4.07739064,1.777202652,0.210489475
61,18.8856777,0.331251664,2.087330444,0.120574747,66.455714,0.71456245,5.717428519,0.249067825
62,14.9940699,0.381055912,0.883461684,0.01679796,27.2403172,0.2452786,2.736926371,0.040579791
63,7.5460429,0.291262523,0.715975766,0.017651229,9.2012336,0.312776,1.00851403,0.034201695
64,7.4030555,0.285947667,0.508705535,0.024866639,68.0915347,1.21541997,7.880823929,0.114438169
65,6.4696525,0.21576566,0.524723639,0.056076424,57.4249885,1.86636452,7.661181973,0.203839511
66,7.0306716,0.205576424,0.555559099,0.019769314,38.1791004,0.90845801,3.954432398,0.085480517
67,8.0687284,0.221954467,0.421795591,0.03331289,28.4511856,1.1569533,3.27542219,0.124908438
68,10.3322504,0.263815805,0.210490439,0.012569803,24.8703813,0.4764688,2.692929146,0.129738747
69,6.7324605,0.133228013,0.286940754,0.01845083,9.2685568,0.1400644,0.786610642,0.013246928
70,5.8451135,0.066728272,0.643943836,0.020709501,25.3600685,2.37964448,1.689910738,0.123980133
71,3.2954118,0.143151119,0.226590486,0.002992669,7.5280642,1.20404409,0.757759806,0.048439054
72,3.7964066,0.115760385,0.350192207,0.026988541,11.557234,1.2329949,1.415510164,0.041572856
73,3.332531,0.047784899,0.13926896,0,3.5786664,0.10701203,0.427596429,0.037223319
74,3.0069881,0.077203739,0.236545478,0.049553429,5.249725,0.45493173,0.580906307,0.09969624
75,8.3786667,0.316176287,0.943165311,0.061553189,28.6424444,1.56645949,4.907478693,0.243368227
76,4.450259,1.909118024,0.400084702,0.131575774,9.3660444,1.72441852,0.860209799,0.076518535
77,6.2416672,0.065554943,0.4063233,0.029521125,2.8752446,0.25419577,0.230486056,0.037645878
78,16.3464081,0.230557579,3.714164712,0.017171328,51.5953216,4.10461199,6.162040655,0.416087401
79,3.0729267,0.013040098,0.272401027,0.007471313,22.1447559,0.26074162,1.560213254,0.06823603
80,4.8468387,0.60012355,0.070350701,0.044008361,8.7747097,0.87923581,0.75931684,0.113217279
81,3.3493333,0.014224392,0.454278035,0.02056249,2.2935556,0.06373332,0.170504068,0.058810621
82,2.0237194,0.018009926,0.076459483,0,4.5951349,1.79657964,0.275720463,0.085732587
83,6.847,0.118424378,1.377590548,0.04089894,0.8428889,0.39089927,0.080379625,0.024514784
84,3.5082135,0.199482618,0.655659026,0.166351882,3.3974505,0.06683413,0.11476587,0.170013447
85,2.7534243,0.04056241,0.769970029,0.027363098,1.9403002,0.06353874,0.161193641,0.026547078
86,10.9155556,0.652293195,1.317911097,0.018002432,46.9344444,0.35707315,3.525445479,0.087883534
87,4.2125574,0.067403587,0.365259317,0.042152733,12.0141929,0.70215737,0.813461037,0.074780985
88,4.0301888,0.184064479,0.286335802,0.025821887,11.6513002,0.36692644,0.694963815,0.034668736
89,25.0263224,0.3158596,3.103182383,0.023330469,5.2566417,3.07538304,0.314900201,0.19709206
90,5.5362222,0.054133695,0.798542513,0.037814888,7.5593334,0.18566286,0.907708698,0.031955374
91,4.1491549,0.153419071,0.689308053,0.017510258,3.6535965,0.12829835,0.38161324,0.033249133
92,19.825936,0.584398003,1.706931536,0.078799274,54.3292364,7.51896789,3.500964114,0.498325022
93,3.729,0.008896542,0.346189231,0.014885204,20.3021111,1.70715122,2.23406934,0.178677099
94,4.6932222,0.193845893,0.292441411,0.017917254,19.0123334,0.99618485,2.248232616,0.139091735
95,3.5411111,0.024904519,0.605474046,0.019270429,1.6381111,0.15601403,0.304413615,0.063950139
96,3.4023333,0.033072884,0.375823166,0.00400523,7.003,0.38834306,1.201505908,0.060877846
97,5.1152222,0.256676203,1.370206275,0.043376582,8.6781111,0.3874218,1.725377687,0.083291686
98,3.1642262,0.018427072,0.271627013,0.014501235,5.4466186,0.24957273,0.396360772,0.060852321
99,3.1095849,0.142487883,0.247140938,0.015624255,3.2229208,0.23097219,0.205030537,0.028930359
100,6.5532876,0.683385265,0.848917751,0.167945001,26.1145028,6.22130115,4.938993062,1.697246722
101,6.1631916,0.699257268,0.758368326,0.188844234,20.1575458,5.55414884,3.227195711,1.746211376
102,7.9035799,0.20243476,1.045284396,0.011414634,53.067508,3.34049447,9.41163351,0.198777983
103,3.8539059,0.100707516,0.285291845,0.010322038,33.4507275,0.85791136,3.464843684,0.171163765
104,3.120205,0.128131339,0.203072371,0.012793383,11.9479187,0.50007206,1.22693674,0.08457469
105,4.5520503,0.107190052,0.491072617,0.016500832,6.4959625,0.30488918,0.746286229,0.031453654
106,3.3240332,0.064409785,0.295255824,0.013332037,5.3227085,0.34955528,0.54870355,0.02514657
107,3.4498779,0.118361356,0.337165923,0.007988691,4.8828228,0.33165023,0.556093894,0.021599845
108,15.0163813,0.440257322,2.409794527,0.171343345,21.3675566,2.52570957,2.305788466,0.383761412
109,3.1717184,0.038952911,0.280472885,0.01224506,6.476044,2.02581327,0.423828025,0.186649436
110,3.5286736,0.030696616,0.350954936,0.025238683,15.4190677,0.40500246,1.099980733,0.05423724
111,7.2557832,0.233141372,0.716863085,0.027174216,40.2919404,1.8616596,9.210795842,0.558486281
112,7.2861562,0.450922142,0.494732639,0.032147615,24.3058847,0.20958018,3.242626207,0.052800651
113,5.2991101,0.182113274,0.363765267,0.009976102,17.2174029,0.56050525,1.414406667,0.0067727
114,9.2487867,0.322817654,2.467473985,0.189543047,54.6476917,2.12312492,8.930133149,0.236410169
115,5.4250242,0.031371482,0.453853085,0.067891925,5.0908891,0.26416372,0.638355745,0.028631502
116,7.0773549,0.111377374,0.334638656,0.026053252,4.8390605,0.20764139,0.375421031,0.04198634
117,3.2283363,0.018542102,3.644829025,0.08523001,9.8640831,0.35707562,1.754557458,0.074265402
118,4.8210378,0.1524526,0.460759397,0.019585593,9.5356534,0.14114715,1.347155874,0.010023007
119,6.0229581,0.054003813,0.462825388,0.061079592,4.3936041,0.3080207,0.22423674,0.043374541
120,11.2443294,0.185786893,1.042636821,0.026205157,52.2273089,2.38730971,8.127829335,0.37617905
121,6.995391,0.241014669,0.467190293,0.043390342,15.2261078,0.50448398,2.54773581,0.122510926
122,5.1325162,0.036024893,1.060110913,0.003079483,8.3680097,0.30464662,1.331154684,0.036160419
123,3.9693677,0.079188695,1.047148794,0.035548811,92.1303186,1.39671106,11.06423136,0.233782833
124,2.9245779,0.888465802,0.289565917,0.263223577,6.0526436,2.37791225,0.516917491,0.237130895
125,3.6296549,0.78218842,0.581818248,0.233153684,9.0501222,2.52974563,0.753478242,0.264892276
126,12.6952374,0.332600705,1.293950853,0.068760146,44.978036,0.91470997,6.422488307,0.065783906
127,14.7514264,0.279968131,0.662637436,0.020073775,17.9249166,1.29633001,1.921813164,0.068083466
128,10.12751,0.321446186,0.499853246,0.040260239,8.2874045,0.72169054,0.943174615,0.028330469
129,7.917413,0.089928271,1.626903471,0.01949088,37.7592685,1.61161073,8.458201612,0.162712099
130,7.4567229,0.075069007,0.504970464,0.0094787,11.0605135,0.35235707,1.730320342,0.117440397
131,4.5191363,0.037839775,0.269790896,0.013880931,5.7817552,0.06784544,0.871040954,0.018404526
132,15.8316454,0.216938412,0.737716997,0.039220911,53.7739749,2.59693524,7.46939568,0.549904369
133,13.6455993,0.371833792,0.677844533,0.0502593,13.8940967,0.65661314,2.291202655,0.036122713
134,6.9191491,0.051830988,0.933848287,0.01150278,5.4237397,0.23170433,1.006535948,0.016661697
135,32.377335,0.474741632,1.276339363,0.026946746,124.9739571,5.25026474,15.49249056,0.533012947
136,14.0412886,0.267584935,0.645075094,0.027991524,26.1889881,1.78078038,3.926410517,0.293216244
137,13.2554954,0.365043525,0.389991582,0.039756951,17.2784392,0.57190666,2.332445675,0.074576762
138,8.0054491,0.183041165,1.019133388,0.017911373,33.5546004,0.44050274,6.496445959,0.087710945
139,8.2833666,0.341886363,0.406092405,0.000723671,11.7787228,1.03087568,1.199021131,0.087008569
140,7.6057857,0.231241805,0.816983561,0.003335795,5.5282278,0.52783783,0.446038819,0.074320844
141,3.7507464,0.2055386,1.08298673,0.055524655,61.1310901,6.76383596,12.02547736,0.840843272
142,7.3472368,0.27804323,0.660141912,0.046658095,44.3819511,2.3201418,6.894429991,0.083169177
143,2.2062964,0.037895672,0.239871937,0.00579469,8.797766,0.50820832,1.170187233,0.116399406
145,4.9309624,NA,0.74919071,NA,5.9246161,NA,0.739764688,NA
146,4.3371473,0.081432149,0.414414388,0.01722871,3.4639945,0.25331347,0.40270764,0.054423301
156,24.8824522,0.354675093,7.89351833,0.145320112,80.3585893,1.84008492,12.24769094,0.10181671
157,7.9051345,0.102804175,1.36969279,0.016942213,19.3228877,0.91194606,3.241146534,0.198350616
158,23.4107668,0.238444038,1.691958725,0.097475669,161.1005013,4.67564482,23.98408233,0.387432936
159,16.9346663,0.329049289,0.959520704,0.045387735,30.9950647,1.43445378,4.525284131,0.063125945
160,9.9326379,0.127255931,0.773601315,0.032382832,7.9067157,0.70724304,1.08360965,0.010965998
161,5.0322676,0.233765184,0.572308968,0.030287967,11.9975449,0.63698262,2.007742536,0.068750823
162,3.594351,0.082710298,0.767146371,0.020463917,41.3121502,1.23163214,8.626014106,0.241538369
163,3.5352554,0.123325526,0.381157678,0.003877326,2.9725765,0.16658209,0.325119699,0.054493726
164,2.8245112,0.078049898,0.268184824,0.054135483,1.1695907,0.06367164,0.087693818,0.040785038
165,4.6592124,0.193274179,3.399687898,0.079233322,59.6735368,0.47410023,8.127001598,0.133034441
168,2.3634817,0.16250704,0.357633403,0.203231964,1.5934028,0.18801457,0.100698711,0.241505678
169,3.3023944,0.061274455,0.641073274,0.008334716,18.7085122,0.31424262,3.218372731,0.032957499
171,7.2554602,0.041746401,1.578548895,0.03925082,48.6703469,0.7076506,8.227313841,0.171697191
172,3.1699516,0.048903793,0.462817906,0.048484185,12.8403644,0.18617844,2.052079067,0.080443991
173,0.9243531,0.027069326,0.154401439,0,0.8966128,0.1341702,0,0
174,10.9356891,0.247891891,0.686662571,0.017952107,45.6602831,0.2760473,6.308876017,0.075976843
