="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	="Itamar"	
="Date of creation"	="8/15/2019 9:46:04 AM"	
="Comments"	="Samples 1045-2004"	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="TOC"	="TC"	="IC"	="POC"	="NPOC"	="TN"	="Unit"	="Vial"	="Date / Time"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	=""	=""	=""	=""	="100.0"	=""	="mg/L"	="1, 1, 1, 1, 1, 1"	="8/15/2019 12:20:41 PM"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	=""	=""	=""	=""	=""	="25.00"	="mg/L"	="2, 2, 2, 2, 2, 2"	="8/15/2019 2:21:10 PM"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	=""	=""	=""	=""	="0.06002"	="0.1609"	="mg/L"	="3"	="8/15/2019 2:33:53 PM"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	=""	=""	=""	=""	="38.69"	="23.68"	="mg/L"	="4"	="8/15/2019 2:58:54 PM"	
="Unknown"	="NPOC/TN"	="K2so4"	="K2so4"	=""	=""	=""	=""	="0.9196"	="0.1609"	="mg/L"	="5"	="8/15/2019 3:15:50 PM"	
="Unknown"	="NPOC/TN"	="1045"	="1"	=""	=""	=""	=""	="24.32"	="7.908"	="mg/L"	="6"	="8/15/2019 3:37:13 PM"	
="Unknown"	="NPOC/TN"	="1047"	="2"	=""	=""	=""	=""	="24.79"	="7.635"	="mg/L"	="7"	="8/15/2019 3:58:46 PM"	
="Unknown"	="NPOC/TN"	="1049"	="3"	=""	=""	=""	=""	="25.54"	="8.138"	="mg/L"	="8"	="8/15/2019 4:19:58 PM"	
="Unknown"	="NPOC/TN"	="1051"	="4"	=""	=""	=""	=""	="7.705"	="1.375"	="mg/L"	="9"	="8/15/2019 4:44:12 PM"	
="Unknown"	="NPOC/TN"	="1053"	="5"	=""	=""	=""	=""	="8.047"	="1.396"	="mg/L"	="10"	="8/15/2019 5:07:24 PM"	
="Unknown"	="NPOC/TN"	="1055"	="6"	=""	=""	=""	=""	="7.963"	="1.338"	="mg/L"	="11"	="8/15/2019 5:30:05 PM"	
="Unknown"	="NPOC/TN"	="1057"	="7"	=""	=""	=""	=""	="23.18"	="1.556"	="mg/L"	="12"	="8/15/2019 5:54:11 PM"	
