="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	=""	
="Date of creation"	="8/1/2019 12:12:40 PM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 1:46:10 PM"	="1"	="1"	="NPOC"	="9.277"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 1:48:32 PM"	="1"	="2"	="NPOC"	="9.315"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 1:51:06 PM"	="1"	="3"	="NPOC"	="9.687"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 1:53:30 PM"	="1"	="4"	="NPOC"	="9.516"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:01:29 PM"	="2"	="1"	="NPOC"	="23.92"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:04:11 PM"	="2"	="2"	="NPOC"	="24.26"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:06:49 PM"	="2"	="3"	="NPOC"	="25.35"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:09:30 PM"	="2"	="4"	="NPOC"	="23.55"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:17:49 PM"	="3"	="1"	="NPOC"	="44.64"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:20:42 PM"	="3"	="2"	="NPOC"	="44.69"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:23:43 PM"	="3"	="3"	="NPOC"	="50.04"	="10.00"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:26:40 PM"	="3"	="4"	="NPOC"	="45.93"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:35:17 PM"	="4"	="1"	="NPOC"	="91.27"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:38:17 PM"	="4"	="2"	="NPOC"	="89.63"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:41:23 PM"	="4"	="3"	="NPOC"	="91.84"	="20.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_01_13_37_22.cal"	=""	1.00	=""	="8/1/2019 2:49:54 PM"	="5"	="1"	="NPOC"	="232.0"	="50.00"	=" "	0	="80"	
