="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	="itamar"	
="Date of creation"	="8/26/2019 11:08:55 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="TOC"	="TC"	="IC"	="POC"	="NPOC"	="TN"	="Unit"	="Vial"	="Date / Time"	
="Unknown"	="NPOC/TN"	="hh"	="1"	=""	=""	=""	=""	="0.000"	="453.0"	="mg/L"	="1"	="8/26/2019 12:11:00 PM"	
="Unknown"	="NPOC/TN"	="1"	="1"	=""	=""	=""	=""	="0.000"	="452.7"	="mg/L"	="2"	="8/26/2019 12:33:51 PM"	
="Unknown"	="NPOC/TN"	="4org"	="1"	=""	=""	=""	=""	="0.000"	="523.0"	="mg/L"	="3"	="8/26/2019 1:01:11 PM"	
="Unknown"	="NPOC/TN"	="12"	="1"	=""	=""	=""	=""	="0.000"	="484.5"	="mg/L"	="4"	="8/26/2019 1:20:43 PM"	
="Unknown"	="NPOC/TN"	="15min"	="1"	=""	=""	=""	=""	="0.000"	="504.3"	="mg/L"	="5"	="8/26/2019 1:48:00 PM"	
="Unknown"	="NPOC/TN"	="19"	="1"	=""	=""	=""	=""	="0.000"	="501.5"	="mg/L"	="6"	="8/26/2019 2:16:11 PM"	
="Unknown"	="NPOC/TN"	="24"	="1"	=""	=""	=""	=""	="0.000"	="516.0"	="mg/L"	="7"	="8/26/2019 2:42:18 PM"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	=""	=""	=""	=""	="100.0"	=""	="mg/L"	="8, 8, 8, 8, 8, 8"	="8/26/2019 4:54:17 PM"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	=""	=""	=""	=""	=""	="25.00"	="mg/L"	="9, 9, 9, 9, 9, 9"	="8/26/2019 7:02:54 PM"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	=""	=""	=""	=""	="25.57"	="24.08"	="mg/L"	="10"	="8/26/2019 7:29:47 PM"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	=""	=""	=""	=""	="0.2279"	="-0.09362"	="mg/L"	="11"	="8/26/2019 7:42:23 PM"	
="Unknown"	="NPOC/TN"	="k2so4"	="k2so4"	=""	=""	=""	=""	="1.493"	="-0.09362"	="mg/L"	="12"	="8/26/2019 8:04:13 PM"	
="Unknown"	="NPOC/TN"	="1159"	="1159"	=""	=""	=""	=""	="9.711"	="0.5725"	="mg/L"	="13"	="8/26/2019 8:28:14 PM"	
="Unknown"	="NPOC/TN"	="1161"	="1159"	=""	=""	=""	=""	="10.40"	="0.5389"	="mg/L"	="14"	="8/26/2019 8:53:31 PM"	
="Unknown"	="NPOC/TN"	="1163"	="1159"	=""	=""	=""	=""	="9.125"	="0.6347"	="mg/L"	="15"	="8/26/2019 9:18:15 PM"	
="Unknown"	="NPOC/TN"	="1165"	="1159"	=""	=""	=""	=""	="7.400"	="0.5037"	="mg/L"	="16"	="8/26/2019 9:42:18 PM"	
="Unknown"	="NPOC/TN"	="1167"	="1159"	=""	=""	=""	=""	="7.653"	="-0.09362"	="mg/L"	="17"	="8/26/2019 10:01:15 PM"	
="Unknown"	="NPOC/TN"	="1169"	="1159"	=""	=""	=""	=""	="7.347"	="-0.09362"	="mg/L"	="18"	="8/26/2019 10:25:51 PM"	
="Unknown"	="NPOC/TN"	="1171"	="1159"	=""	=""	=""	=""	="10.63"	="0.5065"	="mg/L"	="19"	="8/26/2019 10:50:36 PM"	
="Unknown"	="NPOC/TN"	="1173"	="1159"	=""	=""	=""	=""	="11.04"	="0.5766"	="mg/L"	="20"	="8/26/2019 11:13:53 PM"	
="Unknown"	="NPOC/TN"	="1175"	="1159"	=""	=""	=""	=""	="10.82"	="0.5672"	="mg/L"	="21"	="8/26/2019 11:37:41 PM"	
="Unknown"	="NPOC/TN"	="1177"	="1159"	=""	=""	=""	=""	="16.86"	="1.217"	="mg/L"	="22"	="8/27/2019 12:03:05 AM"	
="Unknown"	="NPOC/TN"	="1179"	="1159"	=""	=""	=""	=""	="16.29"	="5.627"	="mg/L"	="23"	="8/27/2019 12:24:45 AM"	
="Unknown"	="NPOC/TN"	="1181"	="1159"	=""	=""	=""	=""	="17.54"	="110.8"	="mg/L"	="24"	="8/27/2019 12:49:22 AM"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	=""	=""	=""	=""	="25.18"	="23.77"	="mg/L"	="10"	="8/27/2019 1:16:17 AM"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	=""	=""	=""	=""	="0.3396"	="-0.09362"	="mg/L"	="11"	="8/27/2019 1:34:11 AM"	
="Unknown"	="NPOC/TN"	="1183"	="1159"	=""	=""	=""	=""	="6.723"	="0.4535"	="mg/L"	="25"	="8/27/2019 1:54:32 AM"	
="Unknown"	="NPOC/TN"	="1185"	="1159"	=""	=""	=""	=""	="6.657"	="1.337"	="mg/L"	="26"	="8/27/2019 2:18:03 AM"	
="Unknown"	="NPOC/TN"	="1187"	="1159"	=""	=""	=""	=""	="6.795"	="36.20"	="mg/L"	="27"	="8/27/2019 2:44:03 AM"	
