="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	="itamar"	
="Date of creation"	="8/26/2019 11:08:55 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Unknown"	="NPOC/TN"	="hh"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_21_13_00_46.cal"	1.00	=""	="8/26/2019 11:54:23 AM"	="1"	="1"	="NPOC"	="14.19"	="0.000"	="NPOC:0.000mg/L TN:453.0mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="hh"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_21_13_00_46.cal"	1.00	=""	="8/26/2019 12:02:40 PM"	="1"	="2"	="NPOC"	="12.43"	="0.000"	="NPOC:0.000mg/L TN:453.0mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="hh"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_21_13_00_46.cal"	1.00	=""	="8/26/2019 12:11:00 PM"	="1"	="3"	="NPOC"	="10.14"	="0.000"	="NPOC:0.000mg/L TN:453.0mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="hh"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_21_15_23_49.cal"	1.00	=""	="8/26/2019 11:54:23 AM"	="1"	="1"	="TN"	="1661"	="455.7"	="NPOC:0.000mg/L TN:453.0mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="hh"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_21_15_23_49.cal"	1.00	=""	="8/26/2019 12:02:40 PM"	="1"	="2"	="TN"	="1581"	="433.8"	="NPOC:0.000mg/L TN:453.0mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="hh"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_21_15_23_49.cal"	1.00	=""	="8/26/2019 12:11:00 PM"	="1"	="3"	="TN"	="1641"	="450.2"	="NPOC:0.000mg/L TN:453.0mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_21_13_00_46.cal"	1.00	=""	="8/26/2019 12:22:28 PM"	="1"	="1"	="NPOC"	="17.19"	="0.000"	="NPOC:0.000mg/L TN:452.7mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_21_13_00_46.cal"	1.00	=""	="8/26/2019 12:30:26 PM"	="1"	="2"	="NPOC"	="19.21"	="0.000"	="NPOC:0.000mg/L TN:452.7mg/L"	1	="80"	
="Unknown"	="NPOC/TN"	="1"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_08_21_13_00_46.cal"	1.00	=""	="8/26/2019 12:33:51 PM"	="1"	="3"	="NPOC"	="16.52"	="0.000"	="NPOC:0.000mg/L TN:452.7mg/L"	0	="80"	
="Unknown"	="NPOC/TN"	="1"	="1"	="C:\TOC3201\Methods\Itamar\acid_sample.met"	="C:\TOC3201\CalCurves\Itamar\N_cal_25ppm_acid_laurel.2019_08_21_15_23_49.cal"	1.00	=""	="8/26/2019 12:22:28 PM"	="1"	="1"	="TN"	="1638"	="449.4"	="NPOC:0.000mg/L TN:452.7mg/L"	0	="80"	
