="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	="Itamar"	
="Date of creation"	="8/21/2019 12:30:40 PM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="TOC"	="TC"	="IC"	="POC"	="NPOC"	="TN"	="Unit"	="Vial"	="Date / Time"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	=""	=""	=""	=""	="100.0"	=""	="mg/L"	="1, 1, 1, 1, 1, 1"	="8/21/2019 3:23:49 PM"	
="Standard"	="TN"	="N_cal_25ppm_acid_laurel"	="N_cal_25ppm_acid_laurel"	=""	=""	=""	=""	=""	="25.00"	="mg/L"	="2, 2, 2, 2, 2, 2"	="8/21/2019 5:19:57 PM"	
="Unknown"	="NPOC/TN"	="DI"	="DI"	=""	=""	=""	=""	="-0.2381"	="0.1544"	="mg/L"	="3"	="8/21/2019 5:33:46 PM"	
="Unknown"	="NPOC/TN"	="25ppm"	="25ppm"	=""	=""	=""	=""	="22.51"	="24.19"	="mg/L"	="4"	="8/21/2019 5:56:43 PM"	
="Unknown"	="NPOC/TN"	="K2so4"	="K2so4"	=""	=""	=""	=""	="0.4450"	="0.1544"	="mg/L"	="5"	="8/21/2019 6:14:17 PM"	
="Unknown"	="NPOC/TN"	="1106"	="DI"	=""	=""	=""	=""	="4.514"	="0.4797"	="mg/L"	="6"	="8/21/2019 6:35:56 PM"	
="Unknown"	="NPOC/TN"	="1108"	="DI"	=""	=""	=""	=""	="3.599"	="0.5131"	="mg/L"	="7"	="8/21/2019 6:58:10 PM"	
="Unknown"	="NPOC/TN"	="1110"	="DI"	=""	=""	=""	=""	="3.758"	="0.3822"	="mg/L"	="8"	="8/21/2019 7:21:03 PM"	
="Unknown"	="NPOC/TN"	="1112"	="DI"	=""	=""	=""	=""	="22.64"	="3.862"	="mg/L"	="9"	="8/21/2019 7:43:05 PM"	
="Unknown"	="NPOC/TN"	="1114"	="DI"	=""	=""	=""	=""	="21.86"	="3.927"	="mg/L"	="10"	="8/21/2019 8:09:18 PM"	
="Unknown"	="NPOC/TN"	="1116"	="DI"	=""	=""	=""	=""	="21.53"	="3.788"	="mg/L"	="11"	="8/21/2019 8:35:13 PM"	
="Unknown"	="NPOC/TN"	="1118"	="DI"	=""	=""	=""	=""	="54.73"	="9.529"	="mg/L"	="12"	="8/21/2019 8:58:16 PM"	
="Unknown"	="NPOC/TN"	="1120"	="DI"	=""	=""	=""	=""	="55.91"	="9.987"	="mg/L"	="13"	="8/21/2019 9:21:14 PM"	
="Unknown"	="NPOC/TN"	="1122"	="DI"	=""	=""	=""	=""	="57.14"	="9.902"	="mg/L"	="14"	="8/21/2019 9:48:17 PM"	
="Unknown"	="NPOC/TN"	="1124"	="DI"	=""	=""	=""	=""	="15.82"	="2.451"	="mg/L"	="15"	="8/21/2019 10:13:00 PM"	
="Unknown"	="NPOC/TN"	="1126"	="DI"	=""	=""	=""	=""	="15.80"	="2.579"	="mg/L"	="16"	="8/21/2019 10:38:18 PM"	
="Unknown"	="NPOC/TN"	="1128"	="DI"	=""	=""	=""	=""	="16.40"	="2.514"	="mg/L"	="17"	="8/21/2019 11:03:11 PM"	
="Unknown"	="NPOC/TN"	="1130"	="DI"	=""	=""	=""	=""	="2.101"	="0.1544"	="mg/L"	="18"	="8/21/2019 11:21:41 PM"	
="Unknown"	="NPOC/TN"	="1132"	="DI"	=""	=""	=""	=""	="1.786"	="0.1544"	="mg/L"	="19"	="8/21/2019 11:40:11 PM"	
