="[Header]"	
="System"	="TOC-Vcpn"	
="File Ver."	="00.00.01E"	
="User"	="laurel"	
="Date of creation"	="7/19/2019 11:49:23 AM"	
="Comments"	=""	

="[System]"	
="Detector"	="Combustion"	
="Catalyst"	="High Sensitivity"	
="ASI Tray"	="40 mL Vials"	

="[Data]"	
="Type"	="Anal."	="Sample Name"	="Sample ID"	="Origin"	="Cal. Curve"	="Dil."	="Notes"	="Date / Time"	="Spl. No."	="Inj. No."	="Analysis(Inj.)"	="Area"	="Conc."	="Result"	="Excluded"	="Inj. Vol."	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:31:55 PM"	="1"	="1"	="NPOC"	="8.281"	="2.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:34:32 PM"	="1"	="2"	="NPOC"	="8.474"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:37:03 PM"	="1"	="3"	="NPOC"	="8.729"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:39:39 PM"	="1"	="4"	="NPOC"	="8.693"	="2.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:47:47 PM"	="2"	="1"	="NPOC"	="22.42"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:50:38 PM"	="2"	="2"	="NPOC"	="22.65"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:53:35 PM"	="2"	="3"	="NPOC"	="23.80"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:56:29 PM"	="2"	="4"	="NPOC"	="23.51"	="5.000"	=" "	1	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 1:59:17 PM"	="2"	="5"	="NPOC"	="22.59"	="5.000"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 2:07:38 PM"	="3"	="1"	="NPOC"	="45.16"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 2:10:45 PM"	="3"	="2"	="NPOC"	="45.17"	="10.00"	=" "	0	="80"	
="Standard"	="NPOC"	="C_cal_100ppm"	="C_cal_100ppm"	="C:\TOC3201\CalCurves\Itamar\C_cal_100ppm_acid_laurel.2019_07_19_13_23_00.cal"	=""	1.00	=""	="7/19/2019 2:13:47 PM"	="3"	="3"	="NPOC"	="47.36"	="10.00"	=" "	1	="80"	
