"","unique_ID","pedon_ID","horizon","location","GWC"
"1",66,68,"a","Ribdan",NA
"2",66,68,"a","Ribdan",NA
"3",66,68,"a","Ribdan",NA
"4",67,69,"a","Sagavinirktok",NA
"5",67,69,"a","Sagavinirktok",NA
"6",67,69,"a","Sagavinirktok",NA
"7",68,70,"a","Flat",NA
"8",68,70,"a","Flat",NA
"9",68,70,"a","Flat",NA
"10",69,71,"a","Slope mountain",NA
"11",69,71,"a","Slope mountain",NA
"12",69,71,"a","Slope mountain",NA
"13",70,72,"a","Oksrikuyik Creek",NA
"14",70,72,"a","Oksrikuyik Creek",NA
"15",70,72,"a","Oksrikuyik Creek",NA
"16",71,73,"a","Kuparuk River",NA
"17",71,73,"a","Kuparuk River",NA
"18",71,73,"a","Kuparuk River",NA
"19",132,68,"c","Ribdan",NA
"20",132,68,"c","Ribdan",NA
"21",132,68,"c","Ribdan",NA
"22",133,69,"c","Sagavinirktok",NA
"23",133,69,"c","Sagavinirktok",NA
"24",133,69,"c","Sagavinirktok",NA
"25",134,71,"c","Slope mountain",NA
"26",134,71,"c","Slope mountain",NA
"27",134,71,"c","Slope mountain",NA
"28",199,72,"b","Oksrikuyik Creek",NA
"29",199,72,"b","Oksrikuyik Creek",NA
"30",199,72,"b","Oksrikuyik Creek",NA
"31",200,73,"b","Kuparuk River",NA
"32",200,73,"b","Kuparuk River",NA
"33",200,73,"b","Kuparuk River",NA
