Lab ID,Sample,Date Received,TestCode,Texture,Sand,Silt,Clay
,,,,Class,(%),(%),(%)
973421,1,12/03/2020,T,Loam,40,45,15
973422,2,12/03/2020,T,Clay Loam,22.5,43.8,33.8
973423,3,12/03/2020,T,Sandy Loam,58.8,32.5,8.8
973424,4,12/03/2020,T,Loam,45,35,20
973425,5,12/03/2020,T,Sandy Loam,53.8,36.3,10
973426,6,12/03/2020,T,Silt Loam,20,56.3,23.8
973427,6,12/03/2020,T,Silt Loam,28.8,51.3,20
973428,7,12/03/2020,T,Silt Loam,17.5,60,22.5
973429,8,12/03/2020,T,Silt Loam,17.5,63.8,18.8
973430,9,12/03/2020,T,Sandy Loam,75,16.3,8.8
973431,10,12/03/2020,T,Loam,32.5,50,17.5
973432,11,12/03/2020,T,Clay Loam,25,37.5,37.5
973433,12,12/03/2020,T,Clay,26.3,31.3,42.5
973434,13,12/03/2020,T,Loamy Sand,77.5,16.3,6.3
973435,14,12/03/2020,T,Sandy Loam,65,25,10
973436,15,12/03/2020,T,Clay Loam,33.8,32.5,33.8
973437,16,12/03/2020,T,Clay Loam,27.5,35,37.5
973438,17,12/03/2020,T,Silt Loam,32.5,55,12.5
973440,18,12/03/2020,T,Silt Loam,26.3,56.3,17.5
973441,19,12/03/2020,T,Clay,10,37.5,52.5
973442,20,12/03/2020,T,Clay,13.8,31.3,55
973443,21,12/03/2020,T,Sandy Loam,62.5,26.3,11.3
973444,22,12/03/2020,T,Sandy Loam,73.8,21.3,5
973445,23,12/03/2020,T,Loam,47.5,45,7.5
973446,24,12/03/2020,T,Sandy Loam,61.3,33.8,5
973447,25,12/03/2020,T,Loamy Sand,75,20,5
973448,26,12/03/2020,T,Sandy Loam,65,17.5,17.5
973449,27,12/03/2020,T,Sandy Loam,52.5,28.8,18.8
973450,28,12/03/2020,T,Loam,40,36.3,23.8
973451,29,12/03/2020,T,Sandy Loam,62.5,22.5,15
973452,30,12/03/2020,T,Loam,47.5,28.8,23.8
973453,31,12/03/2020,T,Clay Loam,26.3,35,38.8
973454,32,12/03/2020,T,Sandy Loam,75,18.8,6.3
973455,33,12/03/2020,T,Sand,87.5,8.8,3.8
973456,34,12/03/2020,T,Loam,45,31.3,23.8
973457,35,12/03/2020,T,Sandy Clay Loam,45,27.5,27.5
973458,36,12/03/2020,T,Sandy Loam,75,18.8,6.3
973460,37,12/03/2020,T,Loamy Sand,82.5,10,7.5
973461,38,12/03/2020,T,Clay Loam,37.5,28.8,33.8
973462,39,12/03/2020,T,Sandy Clay Loam,45,25,30
973463,40,12/03/2020,T,Sandy Loam,52.5,32.5,15
973464,41,12/03/2020,T,Sandy Loam,56.3,31.3,12.5
973465,42,12/03/2020,T,Sandy Loam,55,35,10
973466,43,12/03/2020,T,Loam,40,36.3,23.8
973467,44,12/03/2020,T,Sand,95,2.5,2.5
973468,45,12/03/2020,T,Sand,92.5,2.5,5
973469,46,12/03/2020,T,Sandy Clay Loam,53.8,18.8,27.5
973470,47,12/03/2020,T,Sandy Clay Loam,50,15,35
973471,48,12/03/2020,T,Loamy Sand,85,6.3,8.8
973472,49,12/03/2020,T,Loamy Sand,85,3.8,11.3
973473,50,12/03/2020,T,Sandy Loam,60,30,10
973474,51,12/03/2020,T,Loam,42.5,32.5,25
973475,52,12/03/2020,T,Loam,43.8,38.8,17.5
973476,53,12/03/2020,T,Clay,30,27.5,42.5
973477,54,12/03/2020,T,Loam,45,47.5,7.5
973478,55,12/03/2020,T,Silt Loam,30,57.5,12.5
973480,56,12/03/2020,T,Loam,32.5,48.8,18.8
973481,57,12/03/2020,T,Silt Loam,20,63.8,16.3
973482,58,12/03/2020,T,Loam,30,46.3,23.8
973483,59,12/03/2020,T,Loam,41.3,45,13.8
973484,60,12/03/2020,T,Loam,37.5,42.5,20
973485,61,12/03/2020,T,Sandy Loam,65,23.8,11.3
973486,62,12/03/2020,T,Sandy Loam,67.5,22.5,10
973487,63,12/03/2020,T,Sandy Loam,68.8,18.8,12.5
973488,64,12/03/2020,T,Loam,47.5,30,22.5
973489,65,12/03/2020,T,Loam,27.5,50,22.5
973490,66,12/03/2020,T,Clay,6.3,30,63.8
973491,67,12/03/2020,T,Loam,28.8,48.8,22.5
973492,68,12/03/2020,T,Loam,37.5,40,22.5
973493,69,12/03/2020,T,Sandy Loam,60,27.5,12.5
973494,70,12/03/2020,T,Loam,48.8,32.5,18.8
973495,71,12/03/2020,T,Sandy Loam,67.5,26.3,6.3
973496,72,12/03/2020,T,Sandy Loam,70,27.5,2.5
973497,73,12/03/2020,T,Silt Loam,30,52.5,17.5
