sample_num,pedon_ID,horizon,texture_class,sand,silt,clay,silt_clay
1,2,a,Loam,40,45,15,60
2,2,c,Clay Loam,22.5,43.8,33.8,77.6
3,3,a,Sandy Loam,58.8,32.5,8.8,41.3
4,3,c,Loam,45,35,20,55
5,4,a,Sandy Loam,53.8,36.3,10,46.3
6,6,a,Silt Loam,20,56.3,23.8,80.1
7,6,c,Silt Loam,17.5,60,22.5,82.5
8,8,a,Silt Loam,17.5,63.8,18.8,82.6
9,8,c,Sandy Loam,75,16.3,8.8,25.1
10,10,a,Loam,32.5,50,17.5,67.5
11,12,a,Clay Loam,25,37.5,37.5,75
12,12,c,Clay,26.3,31.3,42.5,73.8
13,14,a,Loamy Sand,77.5,16.3,6.3,22.6
14,14,c,Sandy Loam,65,25,10,35
15,15,a,Clay Loam,33.8,32.5,33.8,66.3
16,15,c,Clay Loam,27.5,35,37.5,72.5
17,16,a,Silt Loam,32.5,55,12.5,67.5
18,16,c,Silt Loam,26.3,56.3,17.5,73.8
19,17,a,Clay,12.5,40.65,46.9,87.55
20,17,c,Clay,13.8,31.3,55,86.3
21,18,a,Sandy Loam,62.5,26.3,11.3,37.6
22,18,c,Sandy Loam,73.8,21.3,5,26.3
23,19,a,Loam,47.5,45,7.5,52.5
24,20,a,Sandy Loam,61.3,33.8,5,38.8
25,20,c,Loamy Sand,75,20,5,25
26,21,a,Sandy Loam,65,17.5,17.5,35
27,22,a,Sandy Loam,52.5,28.8,18.8,47.6
28,22,c,Loam,40,36.3,23.8,60.1
29,24,a,Sandy Loam,62.5,22.5,15,37.5
30,24,c,Loam,47.5,28.8,23.8,52.6
31,25,a,Clay Loam,26.3,35,38.8,73.8
32,28,a,Sandy Loam,75,18.8,6.3,25.1
33,28,c,Sand,87.5,8.8,3.8,12.6
34,29,a,Loam,45,31.3,23.8,55.1
35,29,c,Sandy Clay Loam,45,27.5,27.5,55
36,31,a,Sandy Loam,75,18.8,6.3,25.1
37,31,c,Loamy Sand,82.5,10,7.5,17.5
38,32,a,Clay Loam,37.5,28.8,33.8,62.6
39,32,c,Sandy Clay Loam,45,25,30,55
40,33,a,Sandy Loam,52.5,32.5,15,47.5
41,33,c,Sandy Loam,56.3,31.3,12.5,43.8
42,34,a,Sandy Loam,55,35,10,45
43,34,c,Loam,40,36.3,23.8,60.1
44,36,a,Sand,95,2.5,2.5,5
45,36,c,Sand,92.5,2.5,5,7.5
46,37,a,Sandy Clay Loam,54.4,16.3,29.4,45.7
47,37,c,Sandy Clay Loam,50,15,35,50
48,39,a,Loamy Sand,85,6.3,8.8,15.1
49,39,c,Loamy Sand,85,3.8,11.3,15.1
50,40,a,Sandy Loam,60,30,10,40
51,40,c,Loam,42.5,32.5,25,57.5
52,41,a,Loam,43.8,38.8,17.5,56.3
53,41,c,Clay,30,27.5,42.5,70
54,43,a,Loam,45,47.5,7.5,55
55,44,a,Silt Loam,30,57.5,12.5,70
56,44,c,Loam,32.5,48.8,18.8,67.6
57,46,a,Silt Loam,20,63.8,16.3,80.1
58,46,c,Loam,30,46.3,23.8,70.1
59,47,a,Loam,41.3,45,13.8,58.8
60,47,c,Loam,37.5,42.5,20,62.5
61,48,a,Sandy Loam,65,23.8,11.3,35.1
62,48,c,Sandy Loam,67.5,22.5,10,32.5
63,49,a,Sandy Loam,68.8,18.8,12.5,31.3
64,49,c,Loam,47.5,30,22.5,52.5
65,50,a,Loam,27.5,50,22.5,72.5
66,50,c,Clay,6.3,30,63.8,93.8
67,51,a,Loam,28.8,48.8,22.5,71.3
68,51,c,Loam,37.5,40,22.5,62.5
69,52,a,Sandy Loam,60,27.5,12.5,40
70,52,c,Loam,48.8,32.5,18.8,51.3
71,53,a,Sandy Loam,67.5,26.3,6.3,32.6
72,53,c,Sandy Loam,70,27.5,2.5,30
73,54,a,Silt Loam,30,52.5,17.5,70
74,54,c,Silt Loam,27.5,52.5,20,72.5
75,55,a,Loam,45,42.5,12.5,55
76,55,c,Sandy Loam,57.5,32.5,10,42.5
77,57,a,Sandy Loam,71.3,26.3,2.5,28.8
78,57,c,Sandy Loam,75,16.3,8.8,25.1
79,59,a,Silt Loam,21.3,61.3,17.5,78.8
80,59,c,Silt Loam,45,33.125,43.125,71.25
81,62,a,Sandy Loam,70,25,5,30
82,62,c,Sandy Loam,67.5,28.8,3.8,32.6
83,63,a,Sandy Loam,71.3,21.3,7.5,28.8
84,63,c,Sandy Loam,75,18.8,6.3,25.1
85,64,a,Silt Loam,32.5,56.3,11.3,67.6
86,64,c,Silt Loam,32.5,65,2.5,67.5
87,65,a,Loam,35,48.8,16.3,65.1
88,66,a,Sandy Loam,70,12.5,17.5,30
89,67,a,Loam,35,40,25,65
90,67,c,Loam,32.5,43.8,23.8,67.6
91,68,c,Clay Loam,35,37.5,27.5,65
92,69,c,Silt Loam,20,58.8,21.3,80.1
93,71,c,Sandy Loam,62.5,21.3,16.3,37.6
