seqID,No.,pedon_ID,location_name,horizon,group_veg,group_moist,soil_temp,latitude,longitude,elevation_m,MAT_C,MAP_mm,aridity,region,soil_order,dominant_vegetation_class,biome,soil_moisture_regime,soil_temperature_regime,state,soil_series_name,series_extent_map_acres,common_vegetation,soil_family,LCMS_no,DNA.extract,DNA.conc,DNA.volume,total.DNA.ug.per.g,project,data
B001,1,2,Whitlam Woods,a,A,L,W,41.6311,-81.19026,332,8.77,1092,0.783,midwest,alfisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,ohio,ellsworth,"204,577",deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",1,RW_1,92.2,100,36.88,national soils,B001
B002,2,3,Punderson Park,a,A,L,W,41.46,-81.20551,353,8.88,1081,0.764,midwest,alfisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,ohio,ellsworth,"204,577",deciduous forest,"Fine, illitic, mesic Aquic Hapludalfs",2,RW_1,80,100,32,national soils,B002
B003,3,4,Potato Creek,a,A,M,W,41.56243,-86.36213,245,9.67,991,0.657,midwest,alfisol,deciduous hardwood forest,temperate deciduous forest,udic,mesic,indiana,martinsville,"165,603",mixed deciduous hardwood forest,"Fine-loamy, mixed, active, mesic Typic Hapludalfs",3,RW_1,58.9,100,23.56,national soils,B003
B005,4,6,Pecatonica,a,E,L,W,42.31607,-89.3617,228,8.38,883,0.598,midwest,mollisol,grasses,temperate grassland,aquic,mesic,illinois,lawson,"93,530",grasses and trees,"Fine-silty, mixed, superactive, mesic Aquic Cumulic Hapludolls",4,RW_1,58.7,100,23.48,national soils,B005
B007,5,8,Fox Coulee,a,A,L,W,44.46521,-92.02736,211,7.24,805,0.574,midwest,entisol,deciduous hardwood forest,temperate deciduous forest,aquic,mesic,wisconsin,algansee,"103,588","red maple, swamp white oak, quaking aspen, and white ash","Mixed, mesic Aquic Udipsamments",5,RW_1,54.8,100,21.92,national soils,B007
B009,6,10,Blue Mounds,a,E,M,W,43.69268,-96.18832,489,6.98,685,0.443,great plains,mollisol,grasses,temperate grassland,udic,mesic,minnesota,graceville,"532,701","native grasses are big bluestem, little bluestem, green needlegrass, sideoats grama, and needle and thread","Fine-silty, mixed, superactive, mesic Pachic Haplustolls",6,RW_1,61.4,100,24.56,national soils,B009
B011,7,12,Cottonwood,a,E,N,W,43.98026,-101.89979,1087,8.44,433,0.216,great plains,inceptisol,grasses,temperate grassland,ustic,mesic,south dakota,pierre,"1,342,445","Native grasses are mainly western wheatgrass, green needlegrass, sideoats grama, blue grama, buffalograss, and forbs","Fine, smectitic, mesic Torrertic Haplustepts",7,RW_1,98.5,100,39.4,national soils,B011
B013,8,14,Spearfish,a,D,M,X,44.45069,-103.86455,1306,7.38,559,0.296,great plains,alfisol,shrubs,temperate deciduous forest,udic,frigid,south dakota,vanocker,"184,486","ponderosa pine with lesser amounts of aspen, birch, and bur oak. Understory species include Kentucky bluegrass, needlegrass, timber oatgrass, roughleaf ricegrass, and little bluestem. Shrubs include bearberry, oregon-grape, common juniper, buffaloberry, and snowberry","Loamy-skeletal, mixed, superactive, frigid Inceptic Hapludalfs",8,RW_1,77.4,100,30.96,national soils,B013
B014,9,15,Twisted Cedar,a,D,N,W,44.13849,-104.59112,1306,6.93,386,0.2,mountain west,aridisol,shrubs,arid grassland,ustic,mesic,wyoming,savageton,"122,218","western wheatgrass, sedge, blue grama, cactus","Fine, montmorillonitic, mesic Ustic Haplocambids",9,RW_1,44.4,100,17.76,national soils,B014
B015,10,16,Tensleep,a,D,N,W,44.05055,-107.43088,1409,7.24,304,0.151,mountain west,entisol,shrubs,arid grassland,ustic,mesic,wyoming,neville,"100,947","sagebrush, cactus, blue grama, needleandthread","Fine-loamy, mixed (calcareous), mesic Ustic Torriorthents",10,RW_1,71.1,100,28.44,national soils,B015
B016,11,17,Grab Bag,a,E,N,X,45.5529,-107.34871,972,7.58,411,0.208,mountain west,entisol,grasses,arid grassland,ustic,frigid,montana,lismas,"631,352","western wheatgrass, green needlegrass, sideoats gram","Clayey, montmorillonitic (calcareous), nonacid, frigid, shallow Ustic Torriorthents",11,RW_1,65.1,100,26.04,national soils,B016
B017,12,18,Potosi,a,B,M,Y,45.57203,-111.91427,1907,3.44,428,0.276,mountain west,inceptisol,coniferous forest,temperate coniferous forest,udic,cryic,montana,como,"512,783","Douglas-fir, subalpine fir, lodgepole pine, huckleberry, grouse whortleberry, snowberry, buffaloberry, heartleaf arnica, western meadowrue, grasses, forbs","Sandy-skeletal, mixed Typic Haplocryepts",12,IS_1,71.6,100,28.64,national soils,B017
B018,13,19,Turah,a,B,M,Y,46.63344,-114.58388,1632,3.64,388,0.273,mountain west,inceptisol,coniferous forest,temperate coniferous forest,udic,cryic,montana,petty,"99,463","subalpine fir, western larch, Douglas-fir, Engelmann spruce, and lodgepole pine with an understory of twinflower, blue huckleberry, queencup beadlily, rusty menziesia, grouse whortleberry","Loamy-skeletal, mixed Andic Cryochrepts",13,IS_1,83.9,100,33.56,national soils,B018
B019,14,20,Clearwater,a,B,M,X,46.51269,-114.76499,1131,6.25,236,0.157,mountain west,andisol,coniferous forest,temperate coniferous forest,udic,frigid,idaho,typic vitrandepts,,,"Ashy over loamy-skeletal, amorphic over isotic, frigid Typic Udivitrands",14,IS_1,107.3,100,42.92,national soils,B019
B020,15,21,Olympic,a,B,M,W,47.35765,-123.88751,287,9.18,3205,2.825,pacific coast,andisol,coniferous forest,temperate coniferous forest,udic,mesic,washington,knappton,"61,240","western hemlock forest with scattered Sitka spruce and western red cedar. Understory species are salal, oxalis, swordfern brackenfern, salmonberry, red elderberry, vine maple","Medial, ferrihydritic, isomesic Typic Fulvudands",15,IS_1,96.7,100,38.68,national soils,B020
B021,16,22,Disappointment,a,B,M,W,46.30717,-124.06658,30,10.38,2082,1.826,pacific coast,andisol,coniferous forest,temperate coniferous forest,udic,mesic,washington,Ilwaco,"20,567","western hemlock, Sitka spruce, western red cedar, and red alder. Understory species are salal, oxalis, swordfern, red huckleberry, salmonberry, blackberry, red elderberry, and vine maple","Medial, ferrihydritic, isomesic Typic Fulvudands",16,IS_1,88.9,100,35.56,national soils,B021
B023,17,24,Siuslaw,a,B,M,X,44.48822,-123.53664,733,8.72,2757,2.101,pacific coast,andisol,coniferous forest,temperate deciduous forest,udic,frigid,oregon,caterl,"62,971","Douglas fir, western hemlock, red alder, red and evergreen huckleberry, vine maple, western swordfern, cascade Oregongrape, Oregon oxalis, and salal","Medial-skeletal, ferrihydritic, frigid Alic Hapludands",17,IS_1,82.7,100,33.08,national soils,B023
B024,18,25,Alsea,a,B,M,W,44.47251,-123.50966,502,9.49,2456,1.846,pacific coast,ultisol,coniferous forest,temperate deciduous forest,udic,mesic,oregon,honeygrove,"172,500","Douglas fir, bigleaf maple, red alder, western hazel, vine maple, Pacific dogwood, western brackenfern, salal, western swordfern, cascade Oregongrape, creambush oceanspray, and baldhip rose","Fine, mixed, active, mesic Typic Palehumults",18,IS_1,79.4,100,31.76,national soils,B024
B027,19,28,El Dorado,a,B,O,X,38.80521,-120.10219,1997,5.8,911,0.464,pacific coast,inceptisol,coniferous forest,temperate deciduous forest,xeric,frigid,california,gerle,"187,468","red fir, white fir, Jeffrey pine, lodgepole pine, sugar pine, incense-cedar, chinquapin, huckleberry oak, gooseberry, whitethorn, brackenfern and lupine","Coarse-loamy, mixed, frigid Typic Xerumbrepts",19,IS_1,105.5,100,42.2,national soils,B027
B028,20,29,Merklee,a,D,O,X,38.66673,-119.66681,2202,5.86,561,0.265,pacific coast,mollisol,shrubs,temperate grassland,xeric,frigid,california,heenlake,"20,459","big sagebrush, antelope bitterbrush, and western needlegrass","Loamy-skeletal, mixed, superactive, frigid Typic Argixerolls",20,IS_1,93.7,100,37.48,national soils,B028
B030,21,31,Death Valley,a,D,P,V,36.86487,-116.77128,952,16.12,105,0.03,pacific coast,aridisol,shrubs,desert,aridic,thermic,california,yermo,"269,786","creosotebush, white bursage, scattered yucca and Joshua tree and annual grasses and forbs","Loamy-skeletal, mixed, superactive, calcareous, thermic Typic Torriorthents",21,IS_1,18.1,100,7.24,national soils,B030
