unique_ID,pedon_ID,horizon,mg_IC_g_soil,mg_IC_g_soil_zero,pH,rep
1,2,a,-0.306660047,0,3.84,1
2,3,a,-0.190153555,0,3.38,1
3,4,a,-0.155175186,0,4.18,1
4,5,a,-0.254756314,0,5.47,1
5,6,a,-0.190649381,0,5.4,1
6,8,a,-0.156663306,0,5.4,1
7,9,a,-0.154463899,0,4.48,1
8,10,a,-0.17717877,0,5.28,1
9,11,a,-0.04102536,0,6.92,1
10,12,a,0.005938003,0.005938003,6.73,1
11,13,a,34.58790555,34.58790555,7.26,1
12,14,a,11.52496555,11.52496555,6.93,1
13,15,a,-0.169055666,0,4.18,1
14,16,a,0.465301502,0.465301502,6.92,1
15,17,a,-0.262828296,0,6.97,1
16,18,a,-0.199300515,0,4.3,1
17,19,a,0.005385154,0.005385154,4.62,1
18,20,a,-0.147187202,0,4.98,1
19,21,a,-0.206174195,0,3.51,1
20,22,a,-0.744469921,0,3.58,1
21,23,a,-0.233710179,0,3.39,1
22,24,a,-0.134283854,0,4.67,1
23,25,a,-0.298039898,0,4.43,1
24,26,a,-0.035083301,0,5.14,1
25,27,a,-0.154744365,0,4.96,1
26,28,a,-0.16672062,0,4.07,1
27,29,a,-0.17389096,0,5.94,1
28,30,a,0.083309098,0.083309098,6.25,1
29,31,a,2.066071367,2.066071367,7.31,1
30,32,a,-0.140644411,0,6.26,1
31,33,a,9.426743671,9.426743671,6.95,1
32,34,a,-0.028104334,0,5.07,1
33,35,a,4.134014443,4.134014443,7.11,1
34,36,a,-0.205023321,0,6.21,1
35,37,a,7.714516576,7.714516576,7.25,1
36,38,a,24.20741971,24.20741971,7.31,1
37,39,a,0.739248521,0.739248521,7.25,1
38,40,a,-0.102359088,0,5.68,1
39,41,a,-0.279933051,0,6.19,1
40,42,a,-0.14941244,0,4.46,1
41,43,a,-0.026877087,0,4.2,1
42,44,a,-0.08638447,0,4.35,1
43,45,a,-0.080711466,0,5.22,1
44,46,a,-0.056697185,0,3.92,1
45,47,a,0.059812674,0.059812674,6.09,1
46,48,a,-0.104986956,0,3.5,1
47,49,a,-0.233254311,0,2.9,1
48,50,a,-0.357313721,0,4.88,1
49,51,a,-0.045816795,0,4.65,1
50,52,a,0.042620528,0.042620528,4.69,1
51,53,a,-0.173739608,0,4.01,1
52,54,a,-0.157127527,0,4.21,1
53,55,a,-0.188213663,0,3.89,1
54,56,a,-0.153668924,0,3.39,1
55,57,a,-0.370030754,0,2.76,1
56,58,a,-0.167498206,0,4.7,1
