sample_num,soil,horizon
1,2,a
2,3,a
3,4,a
4,6,a
5,8,a
6,10,a
7,12,a
8,14,a
9,15,a
10,16,a
11,17,a
12,18,a
13,19,a
14,20,a
15,21,a
16,22,a
17,24,a
18,25,a
19,28,a
20,29,a
21,31,a
22,32,a
23,33,a
24,34,a
25,36,a
26,37,a
27,39,a
28,40,a
29,41,a
30,43,a
31,44,a
32,46,a
33,47,a
34,48,a
35,49,a
36,50,a
37,51,a
38,52,a
39,53,a
40,54,a
41,55,a
42,57,a
43,59,a
44,62,a
45,63,a
46,64,a
47,65,a
48,66,a
49,67,a
50,68,a
51,69,a
52,70,a
53,71,a
54,72,a
55,73,a
56,2,c
57,3,c
58,6,c
59,8,c
60,12,c
61,14,c
62,15,c
63,16,c
64,17,c
65,18,c
66,20,c
67,22,c
68,24,c
69,28,c
70,29,c
71,31,c
72,32,c
73,33,c
74,34,c
75,36,c
76,37,c
77,39,c
78,40,c
79,41,c
80,44,c
81,46,c
82,47,c
83,48,c
84,49,c
85,50,c
86,51,c
87,52,c
88,53,c
89,54,c
90,55,c
91,57,c
92,59,c
93,62,c
94,63,c
95,64,c
96,67,c
97,68,c
98,69,c
99,71,c
100,72,c
